%310
@RELATION PLPGO0000014
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?
2,48107.89,48389.84,2835.52,460111.88,421.88,85.97,?,1.88
3,48222.72,48505.50,2832.46,20351.87,61.87,4.07,1.88,1.87
4,47888.16,48143.94,2814.73,2122202.02,122.02,422.41,1.87,2.02
5,?,?,?,?,?,?,2.02,?
6,?,?,?,?,?,?,?,?
7,47589.33,47820.24,2793.31,219991.94,131.94,43.91,?,1.94
8,47379.63,47624.67,2790.64,1450331.90,511.90,276.79,1.94,1.90
9,47407.28,47668.58,2784.62,316221.90,111.90,60.66,1.90,1.90
10,47546.91,47798.66,2800.96,14262.02,52.02,2.83,1.90,2.02
11,47440.80,47690.97,2815.88,175442.02,102.02,35.39,2.02,2.02
12,?,?,?,?,?,?,2.02,?
13,?,?,?,?,?,?,?,?
14,47470.12,47724.95,2820.74,35042.01,82.01,7.06,?,2.01
15,47086.54,47346.41,2817.16,35501.97,121.97,7.09,2.01,1.97
16,47521.39,47794.60,2825.40,1607582.00,792.00,314.09,1.97,2.00
17,47661.37,47936.81,2848.09,02.00,02.00,0.00,2.00,2.00
18,47813.69,48104.67,2864.72,114942.00,72.00,22.88,2.00,2.00
19,?,?,?,?,?,?,2.00,?
20,?,?,?,?,?,?,?,?
21,47936.61,48184.37,2890.14,398721.95,121.95,78.13,?,1.95
22,47872.80,48127.89,2892.80,72001.95,31.95,14.05,1.95,1.95
23,47733.24,47999.21,2890.57,36081.92,81.92,6.95,1.95,1.92
24,47942.04,48203.43,2898.85,129301.90,121.90,24.29,1.92,1.90
25,47613.95,47851.99,2897.93,1839701.92,71.92,360.54,1.90,1.92
26,?,?,?,?,?,?,1.92,?
27,?,?,?,?,?,?,?,?
28,47324.06,47553.14,2886.17,3951.93,31.93,0.76,?,1.93
29,47328.40,47565.10,2878.58,38672.02,72.02,7.78,1.93,2.02
30,46917.19,47113.08,2876.68,282132.00,182.00,56.32,2.02,2.00
31,46840.15,47011.43,2880.57,265822.10,152.10,54.64,2.00,2.10
32,46945.58,47121.08,2883.81,8638952.09,292.09,1843.02,2.10,2.09
33,?,?,?,?,?,?,2.09,?
34,?,?,?,?,?,?,?,?
35,46556.55,46735.25,2856.17,37502.10,62.10,8.06,?,2.10
36,46674.78,46862.43,2843.49,2992.10,32.10,0.63,2.10,2.10
37,46149.14,46341.54,2811.05,540472.16,132.16,116.72,2.10,2.16
38,46329.66,46512.72,2815.91,766672.11,72.11,160.39,2.16,2.11
39,46741.54,46931.40,2825.70,2402.18,32.18,0.52,2.11,2.18
40,?,?,?,?,?,?,2.18,?
41,?,?,?,?,?,?,?,?
42,46786.74,46988.04,2826.84,33692.18,122.18,7.28,?,2.18
43,46399.26,46564.61,2821.25,14522.18,32.18,3.18,2.18,2.18
44,46406.74,46569.81,2825.02,3842.18,32.18,0.83,2.18,2.18
45,46211.54,46360.51,2825.15,95632.17,122.17,20.14,2.18,2.17
46,46370.13,46523.63,2838.22,112632.16,82.16,24.31,2.17,2.16
47,?,?,?,?,?,?,2.16,?
48,?,?,?,?,?,?,?,?
49,46508.27,46665.39,2848.48,850792.18,522.18,189.86,?,2.18
50,46490.89,46652.19,2843.90,50532.20,82.20,11.35,2.18,2.20
51,46051.76,46198.42,2831.71,237592.18,202.18,51.52,2.20,2.18
52,45879.90,46050.52,2801.83,433062.15,212.15,92.67,2.18,2.15
53,45948.12,46124.82,2817.57,144322.20,152.20,30.64,2.15,2.20
54,?,?,?,?,?,?,2.20,?
55,?,?,?,?,?,?,?,?
56,46286.28,46487.05,2840.57,295952.28,242.28,67.45,?,2.28
57,45868.35,46065.85,2831.16,343402.29,232.29,77.72,2.28,2.29
58,46241.92,46459.99,2855.69,564132.30,632.30,133.34,2.29,2.30
59,46280.36,46510.83,2865.27,754582.20,832.20,170.16,2.30,2.20
60,46341.14,46622.90,2859.05,460062.08,532.08,99.14,2.20,2.08
61,?,?,?,?,?,?,2.08,?
62,?,?,?,?,?,?,?,?
63,46137.70,46454.13,2860.68,145402.04,172.04,30.01,?,2.04
64,46676.09,47001.38,2868.06,92092.09,102.09,19.58,2.04,2.09
65,46762.65,47090.49,2872.90,138812.06,182.06,28.56,2.09,2.06
66,46745.26,47060.66,2873.49,20022.04,92.04,4.14,2.06,2.04
67,47074.39,47436.21,2906.74,162761.97,251.97,32.52,2.04,1.97
68,?,?,?,?,?,?,1.97,?
69,?,?,?,?,?,?,?,?
70,46933.03,47269.75,2914.24,319091.89,461.89,61.18,?,1.89
71,47010.40,47340.43,2911.38,23871.99,51.99,4.56,1.89,1.99
72,46888.37,47235.72,2901.67,84911.98,201.98,16.41,1.99,1.98
73,47223.68,47606.16,2912.13,3901.99,21.99,0.77,1.98,1.99
74,47125.93,47522.10,2909.77,36691.99,61.99,7.28,1.99,1.99
75,?,?,?,?,?,?,1.99,?
76,?,?,?,?,?,?,?,?
77,46668.41,47094.18,2900.59,100252.01,52.01,19.94,?,2.01
78,46029.35,46473.62,2868.24,108501.99,91.99,21.62,2.01,1.99
79,46068.24,46511.62,2874.75,94901.99,71.99,18.94,1.99,1.99
80,45580.47,46017.88,2833.61,20112.04,52.04,3.97,1.99,2.04
81,45066.18,45473.08,2800.67,75472.00,152.00,14.87,2.04,2.00
82,?,?,?,?,?,?,2.00,?
83,?,?,?,?,?,?,?,?
84,44585.10,44946.32,2780.21,12022.05,42.05,2.41,?,2.05
