%310
@RELATION PLLCCRP00017
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE sWIG80 NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-DEWEL NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?,?,?
2,10531.27,48107.89,1438.45,48389.84,2835.52,262321.17,261.17,30.54,?,1.17
3,10554.18,48222.72,1422.15,48505.50,2832.46,430551.19,251.19,50.51,1.17,1.19
4,10519.33,47888.16,1424.57,48143.94,2814.73,456201.17,271.17,52.81,1.19,1.17
5,?,?,?,?,?,?,?,?,1.17,?
6,?,?,?,?,?,?,?,?,?,?
7,10488.60,47589.33,1408.87,47820.24,2793.31,297501.16,131.16,34.36,?,1.16
8,10500.71,47379.63,1416.22,47624.67,2790.64,599231.18,481.18,69.67,1.16,1.18
9,10503.06,47407.28,1418.24,47668.58,2784.62,140001.16,81.16,16.32,1.18,1.16
10,10496.80,47546.91,1427.00,47798.66,2800.96,138631.15,111.15,16.04,1.16,1.15
11,10595.04,47440.80,1431.50,47690.97,2815.88,349991.17,241.17,40.83,1.15,1.17
12,?,?,?,?,?,?,?,?,1.17,?
13,?,?,?,?,?,?,?,?,?,?
14,10637.07,47470.12,1429.59,47724.95,2820.74,1604521.15,661.15,186.04,?,1.15
15,10638.06,47086.54,1424.03,47346.41,2817.16,74311.16,121.16,8.59,1.15,1.16
16,10673.05,47521.39,1459.06,47794.60,2825.40,2538791.18,841.18,298.05,1.16,1.18
17,10767.29,47661.37,1480.62,47936.81,2848.09,839141.18,401.18,98.36,1.18,1.18
18,10903.93,47813.69,1463.04,48104.67,2864.72,4868761.18,471.18,578.99,1.18,1.18
19,?,?,?,?,?,?,?,?,1.18,?
20,?,?,?,?,?,?,?,?,?,?
21,11030.02,47936.61,1473.28,48184.37,2890.14,9072561.21,721.21,1097.36,?,1.21
22,11073.63,47872.80,1474.10,48127.89,2892.80,5856301.26,1551.26,733.88,1.21,1.26
23,11071.80,47733.24,1466.26,47999.21,2890.57,943361.25,601.25,118.13,1.26,1.25
24,11108.21,47942.04,1462.14,48203.43,2898.85,342281.24,161.24,42.66,1.25,1.24
25,11174.05,47613.95,1453.75,47851.99,2897.93,1537221.25,231.25,192.62,1.24,1.25
26,?,?,?,?,?,?,?,?,1.25,?
27,?,?,?,?,?,?,?,?,?,?
28,11144.27,47324.06,1428.40,47553.14,2886.17,2316761.29,491.29,293.17,?,1.29
29,11165.66,47328.40,1414.71,47565.10,2878.58,2687151.25,611.25,339.40,1.29,1.25
30,11183.61,46917.19,1409.63,47113.08,2876.68,621061.26,381.26,76.97,1.25,1.26
31,11245.80,46840.15,1412.77,47011.43,2880.57,900431.30,411.30,116.06,1.26,1.30
32,11241.00,46945.58,1424.75,47121.08,2883.81,1624311.28,791.28,211.90,1.30,1.28
