%310
@RELATION PLMNRTR00012
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE sWIG80 NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
80,11069.03,45580.47,46017.88,2833.61,5453153.85,6253.85,2108.95,3.69,3.85
81,10908.77,45066.18,45473.08,2800.67,1474613.75,1833.75,549.56,3.85,3.75
82,?,?,?,?,?,?,?,3.75,?
83,?,?,?,?,?,?,?,?,?
84,10899.26,44585.10,44946.32,2780.21,3247923.33,3673.33,1178.75,?,3.33
85,10815.43,44724.88,45119.16,2774.13,11166292.95,8642.95,3385.66,3.33,2.95
86,10867.86,45247.90,45644.09,2785.46,3970282.93,3772.93,1188.30,2.95,2.93
87,10938.55,45147.57,45528.85,2797.31,5539713.33,4773.33,1752.30,2.93,3.33
88,?,?,?,?,?,?,?,3.33,?
89,?,?,?,?,?,?,?,?,?
90,?,?,?,?,?,?,?,?,?
91,?,?,?,?,?,?,?,?,?
92,10998.70,45304.74,45679.51,2814.33,5580043.79,6343.79,2038.58,?,3.79
93,10809.87,44604.61,44940.36,2769.02,3653013.35,4543.35,1312.89,3.79,3.35
94,10817.23,44623.89,44980.62,2766.19,3501163.33,3433.33,1186.80,3.35,3.33
95,10803.99,44597.66,44960.02,2760.91,2584883.26,2353.26,843.97,3.33,3.26
96,?,?,?,?,?,?,?,3.26,?
97,?,?,?,?,?,?,?,?,?
98,10819.93,44590.97,44963.96,2764.28,596843.36,1093.36,201.00,?,3.36
99,10820.89,44725.03,45096.35,2767.26,407513.32,683.32,134.60,3.36,3.32
100,10845.27,45091.63,45495.34,2780.21,1167013.32,1423.32,392.55,3.32,3.32
101,10908.65,45688.48,46131.66,2794.43,584293.36,813.36,195.70,3.32,3.36
102,10807.45,45525.92,45960.10,2783.53,575263.33,873.33,191.88,3.36,3.33
103,?,?,?,?,?,?,?,3.33,?
104,?,?,?,?,?,?,?,?,?
105,10663.67,44724.14,45167.65,2754.91,1914653.54,2243.54,677.95,?,3.54
106,?,?,?,?,?,?,?,3.54,?
107,10431.02,43916.24,44404.81,2705.88,1578013.39,2043.39,568.76,?,3.39
108,10415.53,43364.70,43850.06,2695.55,1926483.21,2093.21,621.91,3.39,3.21
109,10373.60,43447.75,43993.98,2685.57,1126303.23,843.23,362.96,3.21,3.23
110,?,?,?,?,?,?,?,3.23,?
111,?,?,?,?,?,?,?,?,?
112,10335.77,43360.30,43892.82,2660.28,717733.21,723.21,230.59,?,3.21
113,10282.22,43159.57,43707.88,2624.40,575203.29,863.29,186.29,3.21,3.29
114,10264.95,43356.73,43908.95,2636.70,328863.28,503.28,107.10,3.29,3.28
115,10327.20,43482.18,44027.03,2658.57,497333.30,703.30,162.75,3.28,3.30
116,10407.26,43665.21,44226.06,2669.93,576883.30,723.30,191.77,3.30,3.30
117,?,?,?,?,?,?,?,3.30,?
118,?,?,?,?,?,?,?,?,?
119,10465.41,43882.16,44420.22,2685.14,1042333.45,1363.45,358.13,?,3.45
120,10511.46,44162.18,44653.34,2704.84,412533.49,713.49,143.32,3.45,3.49
