%310
@RELATION PLSCOPK00012
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
131,?,?,?,?,15.30,?
132,?,?,?,?,?,?
133,2790.62,015.30,015.30,0.00,?,15.30
134,2822.41,6115.47,315.47,0.93,15.30,15.47
135,2848.38,9015.47,115.47,1.39,15.47,15.47
136,2871.70,35115.00,715.00,5.24,15.47,15.00
137,2885.19,015.00,015.00,0.00,15.00,15.00
138,?,?,?,?,15.00,?
139,?,?,?,?,?,?
140,2921.95,015.00,015.00,0.00,?,15.00
141,2893.12,015.00,015.00,0.00,15.00,15.00
142,2912.70,015.00,015.00,0.00,15.00,15.00
143,2894.53,17915.00,315.00,2.61,15.00,15.00
144,2929.62,9115.22,215.22,1.37,15.00,15.22
145,?,?,?,?,15.22,?
146,?,?,?,?,?,?
147,2976.83,20015.22,115.22,3.04,?,15.22
148,2997.81,215.43,215.43,0.03,15.22,15.43
149,3000.58,7015.42,115.42,1.08,15.43,15.42
150,?,?,?,?,15.42,?
151,2994.25,015.42,015.42,0.00,?,15.42
152,?,?,?,?,15.42,?
153,?,?,?,?,?,?
154,2970.24,10615.20,215.20,1.61,?,15.20
155,2998.79,015.20,015.20,0.00,15.20,15.20
156,3026.87,55015.20,215.20,8.36,15.20,15.20
157,3020.15,206815.30,615.30,31.30,15.20,15.30
158,3044.38,28515.00,215.00,4.28,15.30,15.00
159,?,?,?,?,15.00,?
160,?,?,?,?,?,?
161,3065.91,45215.00,915.00,6.79,?,15.00
162,3074.89,112415.00,315.00,16.95,15.00,15.00
163,3098.83,215.23,215.23,0.03,15.00,15.23
164,3089.32,015.23,015.23,0.00,15.23,15.23
165,3092.65,15015.30,115.30,2.30,15.23,15.30
166,?,?,?,?,15.30,?
167,?,?,?,?,?,?
168,3100.24,3415.29,115.29,0.52,?,15.29
169,3120.39,28014.80,214.80,4.14,15.29,14.80
170,3122.21,36814.80,314.80,5.45,14.80,14.80
171,3038.18,014.80,014.80,0.00,14.80,14.80
172,3001.68,6114.80,214.80,0.89,14.80,14.80
173,?,?,?,?,14.80,?
174,?,?,?,?,?,?
175,2990.89,21314.80,214.80,3.15,?,14.80
176,2999.31,014.80,014.80,0.00,14.80,14.80
177,2972.55,1614.80,214.80,0.23,14.80,14.80
178,2915.58,57814.20,314.20,8.21,14.80,14.20
179,2948.80,36014.20,414.20,4.90,14.20,14.20
180,?,?,?,?,14.20,?
181,?,?,?,?,?,?
182,2963.91,12214.11,214.11,1.72,?,14.11
183,2981.48,46414.27,514.27,6.58,14.11,14.27
184,2971.57,55214.69,314.69,8.10,14.27,14.69
185,2988.19,115.19,115.19,0.02,14.69,15.19
186,2977.06,120714.10,414.10,17.13,15.19,14.10
187,?,?,?,?,14.10,?
188,?,?,?,?,?,?
189,2948.16,133013.96,1013.96,18.02,?,13.96
190,2924.69,013.96,013.96,0.00,13.96,13.96
191,2962.09,013.96,013.96,0.00,13.96,13.96
192,2992.86,3513.80,313.80,0.48,13.96,13.80
193,3017.66,2513.90,113.90,0.35,13.80,13.90
194,?,?,?,?,13.90,?
195,?,?,?,?,?,?
196,3022.70,7213.85,313.85,0.96,?,13.85
197,3017.11,3013.89,113.89,0.42,13.85,13.89
198,3021.27,013.89,013.89,0.00,13.89,13.89
199,3023.16,8513.90,413.90,1.14,13.89,13.90
200,3019.85,013.90,013.90,0.00,13.90,13.90
201,?,?,?,?,13.90,?
202,?,?,?,?,?,?
203,3021.70,013.90,013.90,0.00,?,13.90
204,3029.97,013.90,013.90,0.00,13.90,13.90
205,3050.63,013.90,013.90,0.00,13.90,13.90
206,3036.16,013.90,013.90,0.00,13.90,13.90
207,3015.00,64913.60,313.60,8.73,13.90,13.60
208,?,?,?,?,13.60,?
209,?,?,?,?,?,?
210,3032.94,15013.60,213.60,2.04,?,13.60
211,3038.42,113.90,113.90,0.01,13.60,13.90
212,3046.08,16613.90,413.90,2.30,13.90,13.90
213,3060.17,013.90,013.90,0.00,13.90,13.90
214,3110.79,013.90,013.90,0.00,13.90,13.90
215,?,?,?,?,13.90,?
216,?,?,?,?,?,?
217,3127.41,65114.06,314.06,9.13,?,14.06
218,3127.38,10114.30,414.30,1.42,14.06,14.30
219,3168.23,78214.58,514.58,11.32,14.30,14.58
220,3190.86,17914.50,314.50,2.60,14.58,14.50
221,3206.86,4514.20,114.20,0.64,14.50,14.20
222,?,?,?,?,14.20,?
223,?,?,?,?,?,?
224,3225.79,110014.01,414.01,15.61,?,14.01
225,3233.22,814.59,214.59,0.11,14.01,14.59
226,3271.49,014.59,014.59,0.00,14.59,14.59
227,?,?,?,?,14.59,?
228,3253.28,014.59,014.59,0.00,?,14.59
229,?,?,?,?,14.59,?
230,?,?,?,?,?,?
231,3237.31,7114.48,214.48,0.99,?,14.48
232,3210.57,014.48,014.48,0.00,14.48,14.48
233,3221.87,4914.48,114.48,0.71,14.48,14.48
234,3260.69,51014.00,514.00,7.14,14.48,14.00
235,3260.35,2614.40,214.40,0.36,14.00,14.40
236,?,?,?,?,14.40,?
237,?,?,?,?,?,?
238,3255.45,014.40,014.40,0.00,?,14.40
239,3197.48,014.40,014.40,0.00,14.40,14.40
240,3183.87,014.40,014.40,0.00,14.40,14.40
241,3204.20,30514.39,214.39,4.39,14.40,14.39
242,3196.27,4014.46,314.46,0.58,14.39,14.46
243,?,?,?,?,14.46,?
244,?,?,?,?,?,?
245,3230.20,014.46,014.46,0.00,?,14.46
246,3226.75,14114.46,214.46,1.97,14.46,14.46
247,3174.71,014.46,014.46,0.00,14.46,14.46
248,3061.25,15114.46,214.46,2.11,14.46,14.46
249,3142.61,6514.46,114.46,0.94,14.46,14.46
250,?,?,?,?,14.46,?
251,?,?,?,?,?,?
252,3199.68,23314.48,414.48,3.36,?,14.48
253,3256.85,014.48,014.48,0.00,14.48,14.48
254,3285.29,014.48,014.48,0.00,14.48,14.48
255,3303.55,4014.20,114.20,0.57,14.48,14.20
256,3285.49,44614.48,414.48,6.45,14.20,14.48
257,?,?,?,?,14.48,?
258,?,?,?,?,?,?
259,3260.05,014.48,014.48,0.00,?,14.48
260,3286.61,014.48,014.48,0.00,14.48,14.48
261,3277.41,25514.25,214.25,3.63,14.48,14.25
262,3316.59,122213.96,813.96,17.08,14.25,13.96
263,3316.08,110513.90,913.90,15.38,13.96,13.90
264,?,?,?,?,13.90,?
265,?,?,?,?,?,?
266,3291.57,117113.96,713.96,15.99,?,13.96
267,3275.67,56813.60,313.60,7.71,13.96,13.60
268,3299.72,62713.95,213.95,8.75,13.60,13.95
269,3336.44,2014.00,114.00,0.28,13.95,14.00
270,3352.18,014.00,014.00,0.00,14.00,14.00
271,?,?,?,?,14.00,?
272,?,?,?,?,?,?
273,3349.29,2914.00,114.00,0.41,?,14.00
274,3351.68,014.00,014.00,0.00,14.00,14.00
275,3364.40,4013.80,113.80,0.55,14.00,13.80
276,3383.62,12914.30,514.30,1.81,13.80,14.30
277,3381.52,23013.80,113.80,3.17,14.30,13.80
278,?,?,?,?,13.80,?
279,?,?,?,?,?,?
280,3383.60,1013.80,113.80,0.14,?,13.80
281,3368.14,2913.80,113.80,0.40,13.80,13.80
282,3379.96,114.33,114.33,0.01,13.80,14.33
283,3454.41,014.33,014.33,0.00,14.33,14.33
284,3477.04,36114.47,414.47,5.17,14.33,14.47
285,?,?,?,?,14.47,?
286,?,?,?,?,?,?
287,3508.85,014.47,014.47,0.00,?,14.47
288,3544.07,46814.45,314.45,6.67,14.47,14.45
289,3548.14,014.45,014.45,0.00,14.45,14.45
290,3572.96,014.45,014.45,0.00,14.45,14.45
291,3535.97,4013.93,113.93,0.56,14.45,13.93
292,?,?,?,?,13.93,?
293,?,?,?,?,?,?
294,3606.06,114.43,114.43,0.01,?,14.43
295,3615.60,8014.00,214.00,1.14,14.43,14.00
296,3596.10,114.40,114.40,0.01,14.00,14.40
297,3637.76,60814.00,614.00,8.76,14.40,14.00
298,3651.19,114.43,114.43,0.01,14.00,14.43
299,?,?,?,?,14.43,?
300,?,?,?,?,?,?
301,3660.45,56014.43,714.43,7.84,?,14.43
302,3688.57,20014.43,314.43,2.88,14.43,14.43
303,3660.80,014.43,014.43,0.00,14.43,14.43
304,3628.73,9114.43,114.43,1.31,14.43,14.43
305,?,?,?,?,14.43,?
306,?,?,?,?,?,?
307,?,?,?,?,?,?
308,3668.56,0,0,0.00,?,14.43
309,3645.18,0,0,0.00,14.43,14.43
310,3650.27,0,0,0.00,14.43,14.43
340,3215.763816454578,?,?,?,?,?,? 
370,3267.20146029432,?,?,?,?,?,? 
400,3318.639104134063,?,?,?,?,?,? 
490,3472.9520356532903,?,?,?,?,?,? 
670,3781.5778986917467,?,?,?,?,?,? 
