%310
@RELATION PLCTINT00018
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE sWIG80 NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-INFO NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?,?,?
2,10531.27,48107.89,1136.16,48389.84,2835.52,5205123.70,10923.70,1232.59,?,23.70
3,10554.18,48222.72,1132.73,48505.50,2832.46,10247823.50,29423.50,2322.99,23.70,23.50
4,10519.33,47888.16,1123.30,48143.94,2814.73,425323.81,4923.81,100.61,23.50,23.81
5,?,?,?,?,?,?,?,?,23.81,?
6,?,?,?,?,?,?,?,?,?,?
7,10488.60,47589.33,1117.54,47820.24,2793.31,431723.50,4223.50,101.25,?,23.50
8,10500.71,47379.63,1107.35,47624.67,2790.64,392123.45,3223.45,91.64,23.50,23.45
9,10503.06,47407.28,1113.00,47668.58,2784.62,1027223.40,9523.40,235.37,23.45,23.40
10,10496.80,47546.91,1127.31,47798.66,2800.96,1128923.88,8923.88,271.60,23.40,23.88
11,10595.04,47440.80,1133.34,47690.97,2815.88,1609724.25,4024.25,389.49,23.88,24.25
12,?,?,?,?,?,?,?,?,24.25,?
13,?,?,?,?,?,?,?,?,?,?
14,10637.07,47470.12,1138.05,47724.95,2820.74,612324.05,5024.05,147.88,?,24.05
15,10638.06,47086.54,1131.14,47346.41,2817.16,101124.21,1824.21,24.49,24.05,24.21
16,10673.05,47521.39,1130.24,47794.60,2825.40,1101124.38,5924.38,266.23,24.21,24.38
17,10767.29,47661.37,1132.34,47936.81,2848.09,3482925.75,12925.75,878.52,24.38,25.75
18,10903.93,47813.69,1144.65,48104.67,2864.72,10625127.18,43827.18,2870.57,25.75,27.18
19,?,?,?,?,?,?,?,?,27.18,?
20,?,?,?,?,?,?,?,?,?,?
21,11030.02,47936.61,1151.79,48184.37,2890.14,3166127.01,17527.01,866.89,?,27.01
22,11073.63,47872.80,1152.16,48127.89,2892.80,1539627.10,9927.10,414.33,27.01,27.10
23,11071.80,47733.24,1153.46,47999.21,2890.57,9016427.38,18827.38,2456.14,27.10,27.38
24,11108.21,47942.04,1150.21,48203.43,2898.85,994127.80,9227.80,271.27,27.38,27.80
25,11174.05,47613.95,1156.62,47851.99,2897.93,3265028.00,15028.00,909.75,27.80,28.00
26,?,?,?,?,?,?,?,?,28.00,?
27,?,?,?,?,?,?,?,?,?,?
28,11144.27,47324.06,1160.03,47553.14,2886.17,4975427.50,13527.50,1363.38,?,27.50
29,11165.66,47328.40,1163.93,47565.10,2878.58,587127.10,6727.10,158.84,27.50,27.10
30,11183.61,46917.19,1153.92,47113.08,2876.68,4770926.50,20226.50,1309.50,27.10,26.50
31,11245.80,46840.15,1159.78,47011.43,2880.57,5556526.95,17826.95,1477.52,26.50,26.95
32,11241.00,46945.58,1158.21,47121.08,2883.81,644226.49,6626.49,170.68,26.95,26.49
33,?,?,?,?,?,?,?,?,26.49,?
34,?,?,?,?,?,?,?,?,?,?
35,11191.08,46556.55,1147.63,46735.25,2856.17,1126027.00,7727.00,305.02,?,27.00
36,11060.84,46674.78,1152.32,46862.43,2843.49,943426.66,8026.66,254.41,27.00,26.66
37,10953.57,46149.14,1128.47,46341.54,2811.05,8552127.20,14127.20,2318.25,26.66,27.20
38,10950.03,46329.66,1129.48,46512.72,2815.91,709027.00,7427.00,191.65,27.20,27.00
39,10986.53,46741.54,1129.43,46931.40,2825.70,2678927.00,8227.00,724.59,27.00,27.00
40,?,?,?,?,?,?,?,?,27.00,?
41,?,?,?,?,?,?,?,?,?,?
42,10947.75,46786.74,1129.99,46988.04,2826.84,277626.97,4126.97,74.45,?,26.97
43,10981.98,46399.26,1137.86,46564.61,2821.25,626626.81,7126.81,168.80,26.97,26.81
44,11022.58,46406.74,1140.25,46569.81,2825.02,1993027.19,14527.19,548.32,26.81,27.19
45,11017.48,46211.54,1127.06,46360.51,2825.15,1805827.00,16727.00,487.45,27.19,27.00
46,11071.18,46370.13,1136.50,46523.63,2838.22,438226.81,5926.81,117.77,27.00,26.81
47,?,?,?,?,?,?,?,?,26.81,?
48,?,?,?,?,?,?,?,?,?,?
49,11089.91,46508.27,1139.96,46665.39,2848.48,1729927.37,8527.37,469.06,?,27.37
50,11119.72,46490.89,1135.32,46652.19,2843.90,2178427.20,10127.20,592.85,27.37,27.20
51,11014.53,46051.76,1126.36,46198.42,2831.71,236226.90,3526.90,64.11,27.20,26.90
52,10948.88,45879.90,1119.98,46050.52,2801.83,1258526.30,10426.30,330.73,26.90,26.30
53,10985.79,45948.12,1131.52,46124.82,2817.57,782126.32,7126.32,204.31,26.30,26.32
54,?,?,?,?,?,?,?,?,26.32,?
