%310
@RELATION LT0000127466
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG-Plus NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-SPOZYW NUMERIC 
@ATTRIBUTE WIG-CEE NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
86,835.51,45247.90,3430.06,809.03,150.47,20.47,0.01,0.47,0.47
87,839.42,45147.57,3478.60,810.52,1023150.49,40.49,47.09,0.47,0.49
88,?,?,?,?,?,?,?,0.49,?
89,?,?,?,?,?,?,?,?,?
90,?,?,?,?,?,?,?,?,?
91,?,?,?,?,?,?,?,?,?
92,840.31,45304.74,3523.68,817.94,2176040.51,50.51,108.79,?,0.51
93,828.79,44604.61,3482.18,814.18,255940.53,150.53,13.29,0.51,0.53
94,824.35,44623.89,3486.55,813.71,20.55,10.55,0.00,0.53,0.55
95,819.73,44597.66,3479.32,814.30,10.54,10.54,0.00,0.55,0.54
96,?,?,?,?,?,?,?,0.54,?
97,?,?,?,?,?,?,?,?,?
98,818.75,44590.97,3450.97,804.33,66000.52,30.52,3.53,?,0.52
99,815.74,44725.03,3474.49,809.49,110260.49,30.49,5.40,0.52,0.49
100,820.16,45091.63,3463.81,809.43,00.49,00.49,0.00,0.49,0.49
101,824.04,45688.48,3504.28,808.43,108850.49,30.49,5.30,0.49,0.49
102,819.29,45525.92,3481.04,806.22,194500.53,90.53,9.53,0.49,0.53
103,?,?,?,?,?,?,?,0.53,?
104,?,?,?,?,?,?,?,?,?
105,814.07,44724.14,3368.83,795.39,205010.47,70.47,9.78,?,0.47
106,?,?,?,?,?,?,?,0.47,?
107,796.68,43916.24,3195.69,774.83,139140.51,60.51,6.46,?,0.51
108,787.39,43364.70,3142.65,764.32,00.51,00.51,0.00,0.51,0.51
109,783.37,43447.75,2992.95,748.80,69260.53,30.53,3.68,0.51,0.53
110,?,?,?,?,?,?,?,0.53,?
111,?,?,?,?,?,?,?,?,?
