%310
@RELATION PLCMP0000017
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE sWIG80 NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-INFO NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?,?,?
2,10531.27,48107.89,1136.16,48389.84,2835.52,16060.00,860.00,9.59,?,60.00
3,10554.18,48222.72,1132.73,48505.50,2832.46,27660.00,460.00,16.59,60.00,60.00
4,10519.33,47888.16,1123.30,48143.94,2814.73,15159.85,359.85,9.04,60.00,59.85
5,?,?,?,?,?,?,?,?,59.85,?
6,?,?,?,?,?,?,?,?,?,?
7,10488.60,47589.33,1117.54,47820.24,2793.31,6959.50,559.50,4.12,?,59.50
8,10500.71,47379.63,1107.35,47624.67,2790.64,94257.80,1357.80,54.59,59.50,57.80
9,10503.06,47407.28,1113.00,47668.58,2784.62,47056.45,1156.45,26.38,57.80,56.45
10,10496.80,47546.91,1127.31,47798.66,2800.96,10545054.00,4854.00,5810.71,56.45,54.00
11,10595.04,47440.80,1133.34,47690.97,2815.88,258.80,158.80,0.12,54.00,58.80
12,?,?,?,?,?,?,?,?,58.80,?
13,?,?,?,?,?,?,?,?,?,?
14,10637.07,47470.12,1138.05,47724.95,2820.74,10154054.50,5554.50,5535.01,?,54.50
15,10638.06,47086.54,1131.14,47346.41,2817.16,25155.10,1155.10,13.53,54.50,55.10
16,10673.05,47521.39,1130.24,47794.60,2825.40,156353.50,2553.50,83.30,55.10,53.50
17,10767.29,47661.37,1132.34,47936.81,2848.09,6956253.90,1153.90,3749.35,53.50,53.90
18,10903.93,47813.69,1144.65,48104.67,2864.72,26954.00,754.00,14.44,53.90,54.00
19,?,?,?,?,?,?,?,?,54.00,?
20,?,?,?,?,?,?,?,?,?,?
21,11030.02,47936.61,1151.79,48184.37,2890.14,28855.00,555.00,15.81,?,55.00
22,11073.63,47872.80,1152.16,48127.89,2892.80,18955.00,955.00,10.37,55.00,55.00
23,11071.80,47733.24,1153.46,47999.21,2890.57,951859.00,3159.00,541.55,55.00,59.00
24,11108.21,47942.04,1150.21,48203.43,2898.85,9559.00,359.00,5.61,59.00,59.00
25,11174.05,47613.95,1156.62,47851.99,2897.93,14059.00,659.00,8.22,59.00,59.00
26,?,?,?,?,?,?,?,?,59.00,?
27,?,?,?,?,?,?,?,?,?,?
28,11144.27,47324.06,1160.03,47553.14,2886.17,12160.00,560.00,7.26,?,60.00
29,11165.66,47328.40,1163.93,47565.10,2878.58,55261.40,661.40,33.89,60.00,61.40
30,11183.61,46917.19,1153.92,47113.08,2876.68,1501357.00,857.00,912.76,61.40,57.00
31,11245.80,46840.15,1159.78,47011.43,2880.57,18560.60,1060.60,11.15,57.00,60.60
32,11241.00,46945.58,1158.21,47121.08,2883.81,558.05,358.05,0.30,60.60,58.05
33,?,?,?,?,?,?,?,?,58.05,?
34,?,?,?,?,?,?,?,?,?,?
35,11191.08,46556.55,1147.63,46735.25,2856.17,30858.95,958.95,18.00,?,58.95
36,11060.84,46674.78,1152.32,46862.43,2843.49,29156.50,656.50,16.54,58.95,56.50
37,10953.57,46149.14,1128.47,46341.54,2811.05,7195955.05,1655.05,3965.42,56.50,55.05
38,10950.03,46329.66,1129.48,46512.72,2815.91,5006454.95,1254.95,2708.85,55.05,54.95
39,10986.53,46741.54,1129.43,46931.40,2825.70,919953.10,1453.10,496.50,54.95,53.10
40,?,?,?,?,?,?,?,?,53.10,?
41,?,?,?,?,?,?,?,?,?,?
42,10947.75,46786.74,1129.99,46988.04,2826.84,16453.00,1253.00,8.73,?,53.00
43,10981.98,46399.26,1137.86,46564.61,2821.25,22954.65,1054.65,12.17,53.00,54.65
44,11022.58,46406.74,1140.25,46569.81,2825.02,15555.15,955.15,8.51,54.65,55.15
45,11017.48,46211.54,1127.06,46360.51,2825.15,2429055.05,1855.05,1324.87,55.15,55.05
46,11071.18,46370.13,1136.50,46523.63,2838.22,1740554.00,754.00,958.12,55.05,54.00
47,?,?,?,?,?,?,?,?,54.00,?
48,?,?,?,?,?,?,?,?,?,?
49,11089.91,46508.27,1139.96,46665.39,2848.48,13856.85,856.85,7.53,?,56.85
50,11119.72,46490.89,1135.32,46652.19,2843.90,2355.15,655.15,1.32,56.85,55.15
51,11014.53,46051.76,1126.36,46198.42,2831.71,4555.05,455.05,2.48,55.15,55.05
52,10948.88,45879.90,1119.98,46050.52,2801.83,57455.00,655.00,31.60,55.05,55.00
53,10985.79,45948.12,1131.52,46124.82,2817.57,1155.00,255.00,0.61,55.00,55.00
54,?,?,?,?,?,?,?,?,55.00,?
55,?,?,?,?,?,?,?,?,?,?
56,11033.69,46286.28,1137.44,46487.05,2840.57,2154.05,254.05,1.14,?,54.05
57,10972.28,45868.35,1126.88,46065.85,2831.16,6153.50,453.50,3.28,54.05,53.50
58,11039.20,46241.92,1126.96,46459.99,2855.69,39053.55,953.55,20.88,53.50,53.55
59,11052.03,46280.36,1140.99,46510.83,2865.27,255.00,155.00,0.11,53.55,55.00
60,11010.83,46341.14,1150.40,46622.90,2859.05,56756.00,1556.00,31.48,55.00,56.00
61,?,?,?,?,?,?,?,?,56.00,?
62,?,?,?,?,?,?,?,?,?,?
63,10998.55,46137.70,1147.38,46454.13,2860.68,36655.00,655.00,20.21,?,55.00
64,10997.33,46676.09,1156.77,47001.38,2868.06,4256.25,456.25,2.32,55.00,56.25
65,11042.47,46762.65,1150.07,47090.49,2872.90,3855.60,455.60,2.06,56.25,55.60
66,11042.08,46745.26,1155.43,47060.66,2873.49,402755.85,755.85,221.09,55.60,55.85
67,11119.06,47074.39,1164.85,47436.21,2906.74,85455.80,455.80,46.15,55.85,55.80
68,?,?,?,?,?,?,?,?,55.80,?
69,?,?,?,?,?,?,?,?,?,?
70,11133.10,46933.03,1184.08,47269.75,2914.24,4755.55,255.55,2.61,?,55.55
71,11150.86,47010.40,1185.21,47340.43,2911.38,155.55,155.55,0.06,55.55,55.55
72,11194.08,46888.37,1178.50,47235.72,2901.67,1656.60,456.60,0.89,55.55,56.60
73,11231.22,47223.68,1177.46,47606.16,2912.13,16256.00,656.00,9.09,56.60,56.00
74,11228.39,47125.93,1176.61,47522.10,2909.77,13555.95,155.95,7.55,56.00,55.95
75,?,?,?,?,?,?,?,?,55.95,?
76,?,?,?,?,?,?,?,?,?,?
77,11190.20,46668.41,1163.52,47094.18,2900.59,556.75,156.75,0.28,?,56.75
78,11135.62,46029.35,1143.53,46473.62,2868.24,18756.70,356.70,10.60,56.75,56.70
79,11168.63,46068.24,1121.08,46511.62,2874.75,25656.00,356.00,14.27,56.70,56.00
80,11069.03,45580.47,1110.00,46017.88,2833.61,556.00,156.00,0.28,56.00,56.00
81,10908.77,45066.18,1091.98,45473.08,2800.67,056.00,056.00,0.00,56.00,56.00
82,?,?,?,?,?,?,?,?,56.00,?
83,?,?,?,?,?,?,?,?,?,?
84,10899.26,44585.10,1091.47,44946.32,2780.21,355.95,255.95,0.17,?,55.95
85,10815.43,44724.88,1081.75,45119.16,2774.13,54755.00,1255.00,29.52,55.95,55.00
86,10867.86,45247.90,1090.32,45644.09,2785.46,197451.95,2851.95,103.63,55.00,51.95
87,10938.55,45147.57,1091.06,45528.85,2797.31,203150.00,3450.00,104.34,51.95,50.00
88,?,?,?,?,?,?,?,?,50.00,?
89,?,?,?,?,?,?,?,?,?,?
90,?,?,?,?,?,?,?,?,?,?
91,?,?,?,?,?,?,?,?,?,?
92,10998.70,45304.74,1102.99,45679.51,2814.33,23551.30,951.30,11.86,?,51.30
93,10809.87,44604.61,1070.68,44940.36,2769.02,122948.50,1448.50,60.72,51.30,48.50
94,10817.23,44623.89,1070.17,44980.62,2766.19,18249.75,649.75,8.75,48.50,49.75
95,10803.99,44597.66,1086.26,44960.02,2760.91,1630850.45,1450.45,818.92,49.75,50.45
96,?,?,?,?,?,?,?,?,50.45,?
97,?,?,?,?,?,?,?,?,?,?
98,10819.93,44590.97,1086.13,44963.96,2764.28,31552.00,852.00,16.31,?,52.00
