%310
@RELATION PLBNFTS00018
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE sWIG80 NUMERIC 
@ATTRIBUTE WIGdiv NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?,?,?
2,10531.27,1117.48,48107.89,48389.84,2835.52,162238.50,22238.50,37.92,?,238.50
3,10554.18,1118.84,48222.72,48505.50,2832.46,226230.00,24230.00,52.79,238.50,230.00
4,10519.33,1111.36,47888.16,48143.94,2814.73,623236.80,25236.80,145.42,230.00,236.80
5,?,?,?,?,?,?,?,?,236.80,?
6,?,?,?,?,?,?,?,?,?,?
7,10488.60,1109.28,47589.33,47820.24,2793.31,71238.00,7238.00,16.69,?,238.00
8,10500.71,1101.95,47379.63,47624.67,2790.64,108237.90,16237.90,25.64,238.00,237.90
9,10503.06,1105.51,47407.28,47668.58,2784.62,20237.00,4237.00,4.75,237.90,237.00
10,10496.80,1109.02,47546.91,47798.66,2800.96,116237.00,12237.00,27.57,237.00,237.00
11,10595.04,1106.07,47440.80,47690.97,2815.88,78237.80,8237.80,18.27,237.00,237.80
12,?,?,?,?,?,?,?,?,237.80,?
13,?,?,?,?,?,?,?,?,?,?
14,10637.07,1108.76,47470.12,47724.95,2820.74,119230.00,11230.00,27.46,?,230.00
15,10638.06,1098.41,47086.54,47346.41,2817.16,1805224.90,38224.90,401.56,230.00,224.90
16,10673.05,1100.21,47521.39,47794.60,2825.40,597220.00,32220.00,131.85,224.90,220.00
17,10767.29,1100.21,47661.37,47936.81,2848.09,1587227.50,34227.50,353.53,220.00,227.50
18,10903.93,1104.63,47813.69,48104.67,2864.72,292229.90,27229.90,67.91,227.50,229.90
19,?,?,?,?,?,?,?,?,229.90,?
20,?,?,?,?,?,?,?,?,?,?
21,11030.02,1103.07,47936.61,48184.37,2890.14,743229.90,15229.90,170.66,?,229.90
22,11073.63,1099.21,47872.80,48127.89,2892.80,202230.00,12230.00,46.55,229.90,230.00
23,11071.80,1091.82,47733.24,47999.21,2890.57,338233.00,16233.00,78.14,230.00,233.00
24,11108.21,1093.21,47942.04,48203.43,2898.85,2050234.90,23234.90,476.77,233.00,234.90
25,11174.05,1084.16,47613.95,47851.99,2897.93,365236.00,7236.00,85.75,234.90,236.00
26,?,?,?,?,?,?,?,?,236.00,?
27,?,?,?,?,?,?,?,?,?,?
28,11144.27,1079.13,47324.06,47553.14,2886.17,8613253.00,88253.00,2097.25,?,253.00
29,11165.66,1078.99,47328.40,47565.10,2878.58,192254.00,30254.00,48.89,253.00,254.00
30,11183.61,1071.11,46917.19,47113.08,2876.68,284264.00,31264.00,73.96,254.00,264.00
