%310
@RELATION WIG-ENERG
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE djia NUMERIC 
@ATTRIBUTE nasdaq NUMERIC 
@ATTRIBUTE eurostoxx NUMERIC 
@ATTRIBUTE dollar NUMERIC 
@ATTRIBUTE euro NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
100,14802.24,3297.25,3297.25,3.1405,3.1405,89820.73,3381.43
101,14865.14,3300.16,3300.16,3.1382,3.1382,50078.52,3429.50
102,14865.06,3294.95,3294.95,3.1537,3.1537,20598.16,3424.65
103,?,?,?,?,?,?,?
104,?,?,?,?,?,?,?
105,14599.20,3216.49,3216.49,3.1502,3.1502,23924.50,3370.12
106,14756.78,3264.63,3264.63,3.1559,3.1559,?,?
107,14618.59,3204.67,3204.67,3.1159,3.1159,81649.52,3264.92
108,14537.14,3166.36,3166.36,3.1529,3.1529,65725.94,3237.49
109,14547.51,3206.06,3206.06,3.1409,3.1409,29902.59,3239.08
110,?,?,?,?,?,?,?
111,?,?,?,?,?,?,?
112,14567.17,3233.55,3233.55,3.1448,3.1448,31012.19,3233.68
113,14719.46,3269.33,3269.33,3.1811,3.1811,77679.20,3206.69
114,14676.30,3269.65,3269.65,3.1823,3.1823,63226.50,3235.20
115,14700.80,3289.99,3289.99,3.1792,3.1792,65670.57,3280.68
116,14712.55,3279.26,3279.26,3.1943,3.1943,43675.86,3250.11
117,?,?,?,?,?,?,?
118,?,?,?,?,?,?,?
119,14818.75,3307.02,3307.02,3.1712,3.1712,27402.81,3291.42
120,14839.80,3328.79,3328.79,3.1721,3.1721,43603.32,3300.26
121,14700.95,3299.13,3299.13,?,?,?,?
122,14831.58,3340.62,3340.62,3.1492,3.1492,73745.92,3328.37
123,14973.96,3378.63,3378.63,?,?,?,?
124,?,?,?,?,?,?,?
125,?,?,?,?,?,?,?
126,14968.89,3392.97,3392.97,3.1646,3.1646,40706.24,3378.81
127,15056.20,3396.63,3396.63,3.1767,3.1767,50485.79,3386.56
128,15105.12,3413.27,3413.27,3.1609,3.1609,28725.10,3388.71
129,15082.62,3409.17,3409.17,3.1392,3.1392,59929.04,3352.21
130,15118.49,3436.58,3436.58,3.1861,3.1861,30298.86,3383.33
131,?,?,?,?,?,?,?
132,?,?,?,?,?,?,?
133,15091.68,3438.79,3438.79,3.2051,3.2051,18735.12,3370.43
134,15215.25,3462.61,3462.61,3.1998,3.1998,56608.55,3411.85
135,15275.69,3471.62,3471.62,3.2340,3.2340,57778.66,3412.33
136,15233.22,3465.24,3465.24,3.2521,3.2521,67189.47,3461.24
137,15354.40,3498.97,3498.97,3.2520,3.2520,27698.33,3447.46
138,?,?,?,?,?,?,?
139,?,?,?,?,?,?,?
140,15335.28,3496.43,3496.43,3.2380,3.2380,25162.47,3380.54
141,15387.58,3502.12,3502.12,3.2490,3.2490,32118.63,3357.29
142,15307.17,3463.30,3463.30,3.2322,3.2322,74912.52,3385.72
143,15294.50,3459.42,3459.42,3.2587,3.2587,84996.60,3313.88
144,15303.10,3459.14,3459.14,3.2400,3.2400,114037.08,3342.81
145,?,?,?,?,?,?,?
146,?,?,?,?,?,?,?
147,?,?,?,3.2416,3.2416,63444.28,3443.31
148,15409.39,3488.89,3488.89,3.2465,3.2465,76702.73,3460.41
149,15302.80,3467.52,3467.52,3.2831,3.2831,59393.03,3509.52
150,15324.53,3491.30,3491.30,?,?,?,?
151,15115.57,3455.91,3455.91,3.2953,3.2953,211282.40,3600.31
152,?,?,?,?,?,?,?
153,?,?,?,?,?,?,?
154,15254.03,3465.37,3465.37,3.2865,3.2865,111391.05,3544.18
155,15177.54,3445.26,3445.26,3.2524,3.2524,86367.73,3574.02
156,14960.59,3401.48,3401.48,3.2421,3.2421,103142.80,3633.81
157,15040.62,3424.05,3424.05,3.2564,3.2564,109588.14,3530.87
158,15248.12,3469.22,3469.22,3.2545,3.2545,102166.66,3538.48
159,?,?,?,?,?,?,?
160,?,?,?,?,?,?,?
161,15238.59,3473.77,3473.77,3.2210,3.2210,82423.06,3582.40
162,15122.02,3436.95,3436.95,3.2201,3.2201,71646.21,3557.42
163,14995.23,3400.43,3400.43,3.2002,3.2002,39725.23,3525.86
164,15176.08,3445.36,3445.36,3.2000,3.2000,85659.16,3516.09
165,15070.18,3423.56,3423.56,3.1654,3.1654,108714.39,3505.91
166,?,?,?,?,?,?,?
167,?,?,?,?,?,?,?
168,15179.85,3452.13,3452.13,3.1719,3.1719,126194.32,3503.94
