%310
@RELATION PLINPRO00015
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG-Plus NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-DEWEL NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
75,?,?,?,?,?,?,?,?,3.62,?
76,?,?,?,?,?,?,?,?,?,?
77,868.37,46668.41,1419.01,47094.18,2900.59,3653.62,33.62,1.32,?,3.62
78,864.73,46029.35,1400.23,46473.62,2868.24,03.62,03.62,0.00,3.62,3.62
79,862.97,46068.24,1396.66,46511.62,2874.75,03.62,03.62,0.00,3.62,3.62
80,850.86,45580.47,1372.60,46017.88,2833.61,113.64,23.64,0.04,3.62,3.64
81,845.32,45066.18,1354.95,45473.08,2800.67,32833.66,63.66,11.95,3.64,3.66
82,?,?,?,?,?,?,?,?,3.66,?
83,?,?,?,?,?,?,?,?,?,?
84,839.36,44585.10,1336.25,44946.32,2780.21,6203.70,33.70,2.29,?,3.70
85,830.80,44724.88,1334.81,45119.16,2774.13,21473.61,43.61,7.75,3.70,3.61
86,835.51,45247.90,1332.17,45644.09,2785.46,83.61,13.61,0.03,3.61,3.61
87,839.42,45147.57,1335.61,45528.85,2797.31,1273.70,33.70,0.46,3.61,3.70
88,?,?,?,?,?,?,?,?,3.70,?
89,?,?,?,?,?,?,?,?,?,?
90,?,?,?,?,?,?,?,?,?,?
91,?,?,?,?,?,?,?,?,?,?
92,840.31,45304.74,1342.68,45679.51,2814.33,13.61,13.61,0.00,?,3.61
93,828.79,44604.61,1315.67,44940.36,2769.02,23.61,23.61,0.01,3.61,3.61
94,824.35,44623.89,1312.91,44980.62,2766.19,1023.61,33.61,0.37,3.61,3.61
95,819.73,44597.66,1319.91,44960.02,2760.91,9203.60,63.60,3.32,3.61,3.60
96,?,?,?,?,?,?,?,?,3.60,?
97,?,?,?,?,?,?,?,?,?,?
98,818.75,44590.97,1329.86,44963.96,2764.28,23.63,23.63,0.01,?,3.63
99,815.74,44725.03,1322.63,45096.35,2767.26,23.63,23.63,0.01,3.63,3.63
100,820.16,45091.63,1341.74,45495.34,2780.21,3213.63,43.63,1.17,3.63,3.63
101,824.04,45688.48,1350.66,46131.66,2794.43,13.65,13.65,0.00,3.63,3.65
102,819.29,45525.92,1356.50,45960.10,2783.53,1933.65,33.65,0.70,3.65,3.65
103,?,?,?,?,?,?,?,?,3.65,?
104,?,?,?,?,?,?,?,?,?,?
105,814.07,44724.14,1314.18,45167.65,2754.91,03.65,03.65,0.00,?,3.65
106,?,?,?,?,?,?,?,?,3.65,?
107,796.68,43916.24,1291.19,44404.81,2705.88,03.65,03.65,0.00,?,3.65
108,787.39,43364.70,1280.02,43850.06,2695.55,03.65,03.65,0.00,3.65,3.65
109,783.37,43447.75,1280.06,43993.98,2685.57,03.65,03.65,0.00,3.65,3.65
110,?,?,?,?,?,?,?,?,3.65,?
111,?,?,?,?,?,?,?,?,?,?
112,776.37,43360.30,1292.08,43892.82,2660.28,13.65,13.65,0.00,?,3.65
113,769.16,43159.57,1277.53,43707.88,2624.40,03.65,03.65,0.00,3.65,3.65
114,769.82,43356.73,1283.16,43908.95,2636.70,03.65,03.65,0.00,3.65,3.65
115,774.88,43482.18,1295.48,44027.03,2658.57,03.65,03.65,0.00,3.65,3.65
116,777.86,43665.21,1299.40,44226.06,2669.93,03.65,03.65,0.00,3.65,3.65
117,?,?,?,?,?,?,?,?,3.65,?
118,?,?,?,?,?,?,?,?,?,?
119,779.98,43882.16,1311.59,44420.22,2685.14,03.65,03.65,0.00,?,3.65
120,784.81,44162.18,1303.66,44653.34,2704.84,03.65,03.65,0.00,3.65,3.65
121,?,?,?,?,?,?,?,?,3.65,?
122,787.45,43991.51,1274.69,44466.89,2695.22,03.65,03.65,0.00,?,3.65
123,?,?,?,?,?,?,?,?,3.65,?
124,?,?,?,?,?,?,?,?,?,?
125,?,?,?,?,?,?,?,?,?,?
126,786.57,44541.73,1283.84,45060.80,2714.72,3283.50,23.50,1.16,?,3.50
127,793.09,44742.22,1301.78,45244.29,2733.96,03.50,03.50,0.00,3.50,3.50
128,798.10,45117.94,1318.36,45647.76,2752.14,19703.50,13.50,6.90,3.50,3.50
129,800.71,44943.16,1323.45,45475.08,2760.20,03.50,03.50,0.00,3.50,3.50
130,800.42,44895.35,1326.21,45408.06,2769.85,03.50,03.50,0.00,3.50,3.50
131,?,?,?,?,?,?,?,?,3.50,?
132,?,?,?,?,?,?,?,?,?,?
133,802.74,45207.84,1330.79,45746.01,2790.62,03.50,03.50,0.00,?,3.50
134,804.49,45771.11,1313.36,46336.62,2822.41,03.50,03.50,0.00,3.50,3.50
135,802.28,46102.42,1324.54,46676.61,2848.38,38683.81,63.81,14.38,3.50,3.81
136,806.45,45992.03,1332.96,46581.16,2871.70,15003.70,23.70,5.55,3.81,3.70
137,810.69,46078.68,1345.72,46646.58,2885.19,03.70,03.70,0.00,3.70,3.70
138,?,?,?,?,?,?,?,?,3.70,?
139,?,?,?,?,?,?,?,?,?,?
140,815.60,46041.35,1341.55,46615.31,2921.95,4453.60,23.60,1.61,?,3.60
141,819.76,45851.80,1351.99,46439.10,2893.12,5203.56,23.56,1.85,3.60,3.56
142,818.82,45933.66,1344.81,46529.96,2912.70,13.56,13.56,0.00,3.56,3.56
143,814.69,45687.76,1350.88,46311.26,2894.53,5463.72,33.72,1.95,3.56,3.72
144,820.11,46145.44,1393.25,46783.61,2929.62,6543.56,13.56,2.33,3.72,3.56
145,?,?,?,?,?,?,?,?,3.56,?
146,?,?,?,?,?,?,?,?,?,?
147,828.12,47277.10,1431.34,47957.54,2976.83,03.56,03.56,0.00,?,3.56
148,838.40,47579.87,1444.94,48258.02,2997.81,20003.77,33.77,7.49,3.56,3.77
149,842.72,47476.64,1464.18,48138.07,3000.58,5023.98,33.98,1.91,3.77,3.98
150,?,?,?,?,?,?,?,?,3.98,?
151,841.72,47806.34,1471.74,48503.87,2994.25,2214.00,34.00,0.88,?,4.00
