%310
@RELATION PLYAWAL00058
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG-Plus NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?
2,782.35,48107.89,48389.84,21875.31,95.31,11.41,?,5.31
3,783.15,48222.72,48505.50,39665.30,145.30,20.93,5.31,5.30
4,781.69,47888.16,48143.94,34465.24,105.24,18.04,5.30,5.24
5,?,?,?,?,?,?,5.24,?
6,?,?,?,?,?,?,?,?
7,781.76,47589.33,47820.24,16295.34,85.34,8.67,?,5.34
8,780.70,47379.63,47624.67,15.39,15.39,0.01,5.34,5.39
9,784.82,47407.28,47668.58,15945.39,95.39,8.36,5.39,5.39
10,788.85,47546.91,47798.66,90145.58,295.58,50.20,5.39,5.58
11,795.36,47440.80,47690.97,42675.79,225.79,24.56,5.58,5.79
12,?,?,?,?,?,?,5.79,?
13,?,?,?,?,?,?,?,?
14,797.42,47470.12,47724.95,11365.85,115.85,6.67,?,5.85
15,794.59,47086.54,47346.41,22045.70,115.70,12.71,5.85,5.70
16,796.34,47521.39,47794.60,27765.80,115.80,15.94,5.70,5.80
17,803.56,47661.37,47936.81,6295.94,85.94,3.62,5.80,5.94
18,807.72,47813.69,48104.67,42555.66,175.66,24.21,5.94,5.66
19,?,?,?,?,?,?,5.66,?
20,?,?,?,?,?,?,?,?
21,809.27,47936.61,48184.37,9015.76,35.76,5.13,?,5.76
22,808.23,47872.80,48127.89,36205.80,135.80,20.47,5.76,5.80
23,808.40,47733.24,47999.21,805.63,25.63,0.45,5.80,5.63
24,811.80,47942.04,48203.43,4655.63,25.63,2.62,5.63,5.63
25,812.99,47613.95,47851.99,19405.88,65.88,11.35,5.63,5.88
26,?,?,?,?,?,?,5.88,?
27,?,?,?,?,?,?,?,?
28,813.38,47324.06,47553.14,26475.74,135.74,15.08,?,5.74
29,815.93,47328.40,47565.10,18115.69,65.69,10.23,5.74,5.69
30,815.59,46917.19,47113.08,4805.60,45.60,2.64,5.69,5.60
31,817.14,46840.15,47011.43,22445.59,85.59,12.35,5.60,5.59
32,818.68,46945.58,47121.08,31555.56,185.56,16.87,5.59,5.56
33,?,?,?,?,?,?,5.56,?
34,?,?,?,?,?,?,?,?
35,818.05,46556.55,46735.25,48555.39,155.39,25.99,?,5.39
36,816.68,46674.78,46862.43,05.39,05.39,0.00,5.39,5.39
37,813.75,46149.14,46341.54,14665.20,125.20,7.65,5.39,5.20
38,811.13,46329.66,46512.72,15875.21,65.21,8.26,5.20,5.21
39,813.77,46741.54,46931.40,37285.24,95.24,20.24,5.21,5.24
40,?,?,?,?,?,?,5.24,?
41,?,?,?,?,?,?,?,?
42,817.03,46786.74,46988.04,5015.54,35.54,2.66,?,5.54
43,817.32,46399.26,46564.61,14705.25,45.25,7.82,5.54,5.25
