%310
@RELATION WIG30TR
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE djia NUMERIC 
@ATTRIBUTE nasdaq NUMERIC 
@ATTRIBUTE eurostoxx NUMERIC 
@ATTRIBUTE dollar NUMERIC 
@ATTRIBUTE euro NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
102,14865.06,3294.95,3294.95,3.1537,3.1537,0.00,3554.37
103,?,?,?,?,?,?,?
104,?,?,?,?,?,?,?
105,14599.20,3216.49,3216.49,3.1502,3.1502,0.00,3489.94
106,14756.78,3264.63,3264.63,3.1559,3.1559,?,?
107,14618.59,3204.67,3204.67,3.1159,3.1159,0.00,3433.28
108,14537.14,3166.36,3166.36,3.1529,3.1529,0.00,3387.52
109,14547.51,3206.06,3206.06,3.1409,3.1409,0.00,3393.51
110,?,?,?,?,?,?,?
111,?,?,?,?,?,?,?
112,14567.17,3233.55,3233.55,3.1448,3.1448,0.00,3386.35
113,14719.46,3269.33,3269.33,3.1811,3.1811,0.00,3377.74
114,14676.30,3269.65,3269.65,3.1823,3.1823,0.00,3397.89
115,14700.80,3289.99,3289.99,3.1792,3.1792,0.00,3403.31
116,14712.55,3279.26,3279.26,3.1943,3.1943,0.00,3417.20
117,?,?,?,?,?,?,?
118,?,?,?,?,?,?,?
119,14818.75,3307.02,3307.02,3.1712,3.1712,0.00,3435.94
120,14839.80,3328.79,3328.79,3.1721,3.1721,0.00,3459.03
121,14700.95,3299.13,3299.13,?,?,?,?
122,14831.58,3340.62,3340.62,3.1492,3.1492,0.00,3440.07
123,14973.96,3378.63,3378.63,?,?,?,?
124,?,?,?,?,?,?,?
125,?,?,?,?,?,?,?
126,14968.89,3392.97,3392.97,3.1646,3.1646,0.00,3486.58
127,15056.20,3396.63,3396.63,3.1767,3.1767,0.00,3501.73
128,15105.12,3413.27,3413.27,3.1609,3.1609,0.00,3533.12
129,15082.62,3409.17,3409.17,3.1392,3.1392,0.00,3521.54
130,15118.49,3436.58,3436.58,3.1861,3.1861,0.00,3514.48
131,?,?,?,?,?,?,?
132,?,?,?,?,?,?,?
133,15091.68,3438.79,3438.79,3.2051,3.2051,0.00,3541.49
134,15215.25,3462.61,3462.61,3.1998,3.1998,0.00,3594.88
135,15275.69,3471.62,3471.62,3.2340,3.2340,0.00,3624.90
136,15233.22,3465.24,3465.24,3.2521,3.2521,0.00,3611.62
137,15354.40,3498.97,3498.97,3.2520,3.2520,0.00,3617.94
138,?,?,?,?,?,?,?
139,?,?,?,?,?,?,?
140,15335.28,3496.43,3496.43,3.2380,3.2380,0.00,3611.69
141,15387.58,3502.12,3502.12,3.2490,3.2490,0.00,3587.49
142,15307.17,3463.30,3463.30,3.2322,3.2322,0.00,3590.59
143,15294.50,3459.42,3459.42,3.2587,3.2587,0.00,3569.08
144,15303.10,3459.14,3459.14,3.2400,3.2400,0.00,3607.51
145,?,?,?,?,?,?,?
146,?,?,?,?,?,?,?
147,?,?,?,3.2416,3.2416,0.00,3709.85
148,15409.39,3488.89,3488.89,3.2465,3.2465,0.00,3734.53
149,15302.80,3467.52,3467.52,3.2831,3.2831,0.00,3723.76
150,15324.53,3491.30,3491.30,?,?,?,?
151,15115.57,3455.91,3455.91,3.2953,3.2953,0.00,3753.24
152,?,?,?,?,?,?,?
153,?,?,?,?,?,?,?
154,15254.03,3465.37,3465.37,3.2865,3.2865,0.00,3699.39
155,15177.54,3445.26,3445.26,3.2524,3.2524,0.00,3732.30
156,14960.59,3401.48,3401.48,3.2421,3.2421,0.00,3745.56
157,15040.62,3424.05,3424.05,3.2564,3.2564,0.00,3718.21
158,15248.12,3469.22,3469.22,3.2545,3.2545,0.00,3771.86
159,?,?,?,?,?,?,?
160,?,?,?,?,?,?,?
161,15238.59,3473.77,3473.77,3.2210,3.2210,0.00,3791.64
162,15122.02,3436.95,3436.95,3.2201,3.2201,0.00,3771.49
163,14995.23,3400.43,3400.43,3.2002,3.2002,0.00,3766.92
164,15176.08,3445.36,3445.36,3.2000,3.2000,0.00,3740.69
165,15070.18,3423.56,3423.56,3.1654,3.1654,0.00,3754.56
166,?,?,?,?,?,?,?
167,?,?,?,?,?,?,?
168,15179.85,3452.13,3452.13,3.1719,3.1719,0.00,3743.05
169,15318.23,3482.18,3482.18,3.1682,3.1682,0.00,3736.96
170,15112.19,3443.20,3443.20,3.1777,3.1777,0.00,3707.74
171,14758.32,3364.64,3364.64,3.2693,3.2693,0.00,3550.74
172,14799.40,3357.25,3357.25,3.2743,3.2743,0.00,3448.40
173,?,?,?,?,?,?,?
174,?,?,?,?,?,?,?
175,14659.56,3320.76,3320.76,3.3137,3.3137,0.00,3457.35
176,14760.31,3347.89,3347.89,3.2840,3.2840,0.00,3460.00
177,14910.14,3376.22,3376.22,3.3239,3.3239,0.00,3451.37
178,15024.49,3401.86,3401.86,3.3241,3.3241,0.00,3348.11
179,14909.60,3403.25,3403.25,3.3175,3.3175,0.00,3450.62
180,?,?,?,?,?,?,?
181,?,?,?,?,?,?,?
182,14974.96,3434.49,3434.49,3.3210,3.3210,0.00,3451.57
183,14932.41,3433.40,3433.40,3.3222,3.3222,0.00,3523.94
184,14988.55,3443.67,3443.67,3.3516,3.3516,0.00,3494.73
185,?,?,?,3.3246,3.3246,0.00,3525.27
186,15135.84,3479.38,3479.38,3.3245,3.3245,0.00,3477.69
187,?,?,?,?,?,?,?
188,?,?,?,?,?,?,?
189,15224.69,3484.83,3484.83,3.3576,3.3576,0.00,3424.36
190,15300.34,3504.26,3504.26,3.3588,3.3588,0.00,3415.12
191,15291.66,3520.76,3520.76,3.3724,3.3724,0.00,3482.45
192,15460.92,3578.30,3578.30,3.3225,3.3225,0.00,3533.66
193,15464.30,3600.08,3600.08,3.3201,3.3201,0.00,3568.17
194,?,?,?,?,?,?,?
195,?,?,?,?,?,?,?
196,15484.26,3607.49,3607.49,3.2955,3.2955,0.00,3572.94
197,15451.85,3598.50,3598.50,3.2735,3.2735,0.00,3568.19
198,15470.52,3610.00,3610.00,3.2410,3.2410,0.00,3581.34
199,15548.54,3611.28,3611.28,3.2362,3.2362,0.00,3572.47
200,15543.74,3587.61,3587.61,3.2348,3.2348,0.00,3587.20
201,?,?,?,?,?,?,?
202,?,?,?,?,?,?,?
203,15545.55,3600.39,3600.39,3.2142,3.2142,0.00,3576.21
204,15567.74,3579.27,3579.27,3.2001,3.2001,0.00,3606.75
205,15542.24,3579.60,3579.60,3.1800,3.1800,0.00,3617.32
206,15555.61,3605.19,3605.19,3.2143,3.2143,0.00,3601.16
207,15558.83,3613.16,3613.16,3.1831,3.1831,0.00,3556.91
208,?,?,?,?,?,?,?
209,?,?,?,?,?,?,?
210,15521.97,3599.14,3599.14,3.1859,3.1859,0.00,3575.31
211,15520.59,3616.47,3616.47,3.1798,3.1798,0.00,3589.26
212,15499.54,3626.37,3626.37,3.1929,3.1929,0.00,3608.43
213,15628.02,3675.74,3675.74,3.1961,3.1961,0.00,3644.36
214,15658.36,3689.59,3689.59,3.2201,3.2201,0.00,3726.75
215,?,?,?,?,?,?,?
216,?,?,?,?,?,?,?
217,15612.13,3692.95,3692.95,3.1771,3.1771,0.00,3738.51
218,15518.74,3665.77,3665.77,3.1744,3.1744,0.00,3693.37
219,15470.67,3654.01,3654.01,3.1725,3.1725,0.00,3722.25
220,15498.32,3669.12,3669.12,3.1503,3.1503,0.00,3767.32
221,15425.51,3660.11,3660.11,3.1336,3.1336,0.00,3778.56
222,?,?,?,?,?,?,?
223,?,?,?,?,?,?,?
224,15419.68,3669.95,3669.95,3.1510,3.1510,0.00,3815.71
225,15451.01,3684.44,3684.44,3.1489,3.1489,0.00,3828.64
226,15337.66,3669.27,3669.27,3.1643,3.1643,0.00,3868.05
227,15112.19,3606.12,3606.12,?,?,?,?
228,15081.47,3602.78,3602.78,3.1665,3.1665,0.00,3845.67
229,?,?,?,?,?,?,?
230,?,?,?,?,?,?,?
231,15010.74,3589.09,3589.09,3.1873,3.1873,0.00,3829.94
232,15002.99,3613.59,3613.59,3.1761,3.1761,0.00,3777.01
233,14897.55,3599.79,3599.79,3.1698,3.1698,0.00,3769.54
234,14963.74,3638.71,3638.71,3.1811,3.1811,0.00,3828.29
235,15010.51,3657.79,3657.79,3.1673,3.1673,0.00,3827.84
236,?,?,?,?,?,?,?
237,?,?,?,?,?,?,?
238,14946.46,3657.57,3657.57,3.1658,3.1658,0.00,3821.96
