%310
@RELATION PLMSTWS00019
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG-Plus NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-BUDOW NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
73,871.52,47223.68,1848.14,47606.16,2912.13,969212.90,6112.90,126.05,13.26,12.90
74,873.21,47125.93,1849.89,47522.10,2909.77,723712.60,5612.60,90.70,12.90,12.60
75,?,?,?,?,?,?,?,?,12.60,?
76,?,?,?,?,?,?,?,?,?,?
77,868.37,46668.41,1834.95,47094.18,2900.59,286512.20,1612.20,35.01,?,12.20
78,864.73,46029.35,1794.48,46473.62,2868.24,950412.20,4812.20,114.15,12.20,12.20
79,862.97,46068.24,1801.52,46511.62,2874.75,285711.90,2011.90,34.19,12.20,11.90
80,850.86,45580.47,1769.42,46017.88,2833.61,278911.82,1611.82,33.01,11.90,11.82
81,845.32,45066.18,1707.83,45473.08,2800.67,304568.00,1438.00,263.03,11.82,8.00
82,?,?,?,?,?,?,?,?,8.00,?
83,?,?,?,?,?,?,?,?,?,?
84,839.36,44585.10,1660.44,44946.32,2780.21,353877.80,1257.80,270.81,?,7.80
85,830.80,44724.88,1648.36,45119.16,2774.13,269198.20,578.20,210.31,7.80,8.20
86,835.51,45247.90,1653.10,45644.09,2785.46,83638.15,418.15,67.45,8.20,8.15
87,839.42,45147.57,1677.23,45528.85,2797.31,1231418.00,348.00,985.03,8.15,8.00
88,?,?,?,?,?,?,?,?,8.00,?
89,?,?,?,?,?,?,?,?,?,?
90,?,?,?,?,?,?,?,?,?,?
91,?,?,?,?,?,?,?,?,?,?
92,840.31,45304.74,1656.40,45679.51,2814.33,256678.13,388.13,203.19,?,8.13
93,828.79,44604.61,1620.82,44940.36,2769.02,512037.28,507.28,411.65,8.13,7.28
94,824.35,44623.89,1588.07,44980.62,2766.19,23967.43,217.43,17.49,7.28,7.43
95,819.73,44597.66,1585.00,44960.02,2760.91,87447.43,267.43,65.28,7.43,7.43
96,?,?,?,?,?,?,?,?,7.43,?
97,?,?,?,?,?,?,?,?,?,?
98,818.75,44590.97,1584.03,44963.96,2764.28,532627.41,207.41,396.31,?,7.41
99,815.74,44725.03,1600.11,45096.35,2767.26,4007.30,27.30,2.92,7.41,7.30
100,820.16,45091.63,1609.16,45495.34,2780.21,240117.30,197.30,175.33,7.30,7.30
101,824.04,45688.48,1647.89,46131.66,2794.43,61257.00,267.00,43.47,7.30,7.00
102,819.29,45525.92,1602.65,45960.10,2783.53,839596.53,446.53,558.36,7.00,6.53
103,?,?,?,?,?,?,?,?,6.53,?
104,?,?,?,?,?,?,?,?,?,?
105,814.07,44724.14,1590.14,45167.65,2754.91,59415.50,375.50,35.18,?,5.50
106,?,?,?,?,?,?,?,?,5.50,?
107,796.68,43916.24,1578.30,44404.81,2705.88,70674.93,324.93,35.66,?,4.93
108,787.39,43364.70,1582.90,43850.06,2695.55,267015.00,175.00,134.72,4.93,5.00
