%310
@RELATION RESPECT
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE djia NUMERIC 
@ATTRIBUTE nasdaq NUMERIC 
@ATTRIBUTE eurostoxx NUMERIC 
@ATTRIBUTE dollar NUMERIC 
@ATTRIBUTE euro NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
100,14802.24,3297.25,3297.25,3.1405,3.1405,732013.40,2381.73
101,14865.14,3300.16,3300.16,3.1382,3.1382,417686.50,2424.99
102,14865.06,3294.95,3294.95,3.1537,3.1537,394103.43,2426.63
103,?,?,?,?,?,?,?
104,?,?,?,?,?,?,?
105,14599.20,3216.49,3216.49,3.1502,3.1502,474005.44,2384.90
106,14756.78,3264.63,3264.63,3.1559,3.1559,?,?
107,14618.59,3204.67,3204.67,3.1159,3.1159,706633.40,2368.24
108,14537.14,3166.36,3166.36,3.1529,3.1529,570324.22,2329.94
109,14547.51,3206.06,3206.06,3.1409,3.1409,337806.39,2326.99
110,?,?,?,?,?,?,?
111,?,?,?,?,?,?,?
112,14567.17,3233.55,3233.55,3.1448,3.1448,304793.94,2324.80
113,14719.46,3269.33,3269.33,3.1811,3.1811,614718.02,2322.43
114,14676.30,3269.65,3269.65,3.1823,3.1823,421687.88,2333.85
115,14700.80,3289.99,3289.99,3.1792,3.1792,448214.84,2351.74
116,14712.55,3279.26,3279.26,3.1943,3.1943,321563.79,2347.25
117,?,?,?,?,?,?,?
118,?,?,?,?,?,?,?
119,14818.75,3307.02,3307.02,3.1712,3.1712,343811.56,2352.08
120,14839.80,3328.79,3328.79,3.1721,3.1721,437260.42,2365.51
121,14700.95,3299.13,3299.13,?,?,?,?
122,14831.58,3340.62,3340.62,3.1492,3.1492,377347.18,2371.23
123,14973.96,3378.63,3378.63,?,?,?,?
124,?,?,?,?,?,?,?
125,?,?,?,?,?,?,?
126,14968.89,3392.97,3392.97,3.1646,3.1646,405870.46,2405.15
127,15056.20,3396.63,3396.63,3.1767,3.1767,440488.58,2406.38
128,15105.12,3413.27,3413.27,3.1609,3.1609,388652.40,2431.87
129,15082.62,3409.17,3409.17,3.1392,3.1392,316059.63,2432.74
130,15118.49,3436.58,3436.58,3.1861,3.1861,198453.65,2418.77
131,?,?,?,?,?,?,?
132,?,?,?,?,?,?,?
133,15091.68,3438.79,3438.79,3.2051,3.2051,252481.77,2429.59
134,15215.25,3462.61,3462.61,3.1998,3.1998,462307.83,2464.03
135,15275.69,3471.62,3471.62,3.2340,3.2340,526595.63,2475.71
136,15233.22,3465.24,3465.24,3.2521,3.2521,395697.82,2482.49
137,15354.40,3498.97,3498.97,3.2520,3.2520,330566.23,2496.00
138,?,?,?,?,?,?,?
139,?,?,?,?,?,?,?
140,15335.28,3496.43,3496.43,3.2380,3.2380,212457.66,2490.85
141,15387.58,3502.12,3502.12,3.2490,3.2490,332321.46,2463.54
142,15307.17,3463.30,3463.30,3.2322,3.2322,436823.02,2469.68
143,15294.50,3459.42,3459.42,3.2587,3.2587,590594.99,2453.92
144,15303.10,3459.14,3459.14,3.2400,3.2400,271143.13,2484.35
145,?,?,?,?,?,?,?
146,?,?,?,?,?,?,?
147,?,?,?,3.2416,3.2416,307724.68,2561.94
148,15409.39,3488.89,3488.89,3.2465,3.2465,313954.91,2578.46
149,15302.80,3467.52,3467.52,3.2831,3.2831,399677.43,2562.11
150,15324.53,3491.30,3491.30,?,?,?,?
151,15115.57,3455.91,3455.91,3.2953,3.2953,862313.98,2578.05
152,?,?,?,?,?,?,?
153,?,?,?,?,?,?,?
154,15254.03,3465.37,3465.37,3.2865,3.2865,465513.85,2540.78
155,15177.54,3445.26,3445.26,3.2524,3.2524,495676.21,2555.93
156,14960.59,3401.48,3401.48,3.2421,3.2421,469626.88,2580.38
157,15040.62,3424.05,3424.05,3.2564,3.2564,390968.35,2554.45
158,15248.12,3469.22,3469.22,3.2545,3.2545,463547.64,2580.49
159,?,?,?,?,?,?,?
160,?,?,?,?,?,?,?
161,15238.59,3473.77,3473.77,3.2210,3.2210,418503.87,2587.96
162,15122.02,3436.95,3436.95,3.2201,3.2201,474714.82,2579.42
163,14995.23,3400.43,3400.43,3.2002,3.2002,328935.62,2564.00
164,15176.08,3445.36,3445.36,3.2000,3.2000,510336.04,2551.55
165,15070.18,3423.56,3423.56,3.1654,3.1654,421658.25,2554.84
166,?,?,?,?,?,?,?
167,?,?,?,?,?,?,?
168,15179.85,3452.13,3452.13,3.1719,3.1719,476583.16,2552.66
169,15318.23,3482.18,3482.18,3.1682,3.1682,294343.55,2541.67
170,15112.19,3443.20,3443.20,3.1777,3.1777,681961.53,2537.78
171,14758.32,3364.64,3364.64,3.2693,3.2693,1015635.60,2447.48
172,14799.40,3357.25,3357.25,3.2743,3.2743,1679453.20,2351.03
173,?,?,?,?,?,?,?
174,?,?,?,?,?,?,?
175,14659.56,3320.76,3320.76,3.3137,3.3137,362161.37,2350.17
176,14760.31,3347.89,3347.89,3.2840,3.2840,459682.95,2357.80
177,14910.14,3376.22,3376.22,3.3239,3.3239,591008.07,2333.53
178,15024.49,3401.86,3401.86,3.3241,3.3241,764537.38,2250.80
179,14909.60,3403.25,3403.25,3.3175,3.3175,813669.75,2334.15
180,?,?,?,?,?,?,?
181,?,?,?,?,?,?,?
182,14974.96,3434.49,3434.49,3.3210,3.3210,346021.76,2346.58
183,14932.41,3433.40,3433.40,3.3222,3.3222,491341.25,2387.78
184,14988.55,3443.67,3443.67,3.3516,3.3516,434160.43,2382.08
185,?,?,?,3.3246,3.3246,375591.07,2398.24
186,15135.84,3479.38,3479.38,3.3245,3.3245,353068.17,2379.17
187,?,?,?,?,?,?,?
188,?,?,?,?,?,?,?
189,15224.69,3484.83,3484.83,3.3576,3.3576,254465.43,2329.18
190,15300.34,3504.26,3504.26,3.3588,3.3588,376142.94,2329.35
191,15291.66,3520.76,3520.76,3.3724,3.3724,420929.80,2370.74
192,15460.92,3578.30,3578.30,3.3225,3.3225,331916.01,2399.69
193,15464.30,3600.08,3600.08,3.3201,3.3201,397527.17,2414.72
194,?,?,?,?,?,?,?
195,?,?,?,?,?,?,?
196,15484.26,3607.49,3607.49,3.2955,3.2955,257687.60,2415.20
197,15451.85,3598.50,3598.50,3.2735,3.2735,362495.05,2404.94
198,15470.52,3610.00,3610.00,3.2410,3.2410,408884.72,2417.44
199,15548.54,3611.28,3611.28,3.2362,3.2362,426238.74,2417.37
200,15543.74,3587.61,3587.61,3.2348,3.2348,252662.67,2416.51
201,?,?,?,?,?,?,?
202,?,?,?,?,?,?,?
203,15545.55,3600.39,3600.39,3.2142,3.2142,251089.70,2396.23
204,15567.74,3579.27,3579.27,3.2001,3.2001,290751.00,2410.94
205,15542.24,3579.60,3579.60,3.1800,3.1800,300392.85,2432.91
206,15555.61,3605.19,3605.19,3.2143,3.2143,272752.58,2419.35
207,15558.83,3613.16,3613.16,3.1831,3.1831,239349.88,2381.24
208,?,?,?,?,?,?,?
209,?,?,?,?,?,?,?
210,15521.97,3599.14,3599.14,3.1859,3.1859,177934.75,2399.20
211,15520.59,3616.47,3616.47,3.1798,3.1798,156804.38,2395.38
212,15499.54,3626.37,3626.37,3.1929,3.1929,387832.56,2406.95
213,15628.02,3675.74,3675.74,3.1961,3.1961,303465.01,2423.45
214,15658.36,3689.59,3689.59,3.2201,3.2201,470331.78,2497.76
215,?,?,?,?,?,?,?
216,?,?,?,?,?,?,?
217,15612.13,3692.95,3692.95,3.1771,3.1771,218306.18,2503.49
218,15518.74,3665.77,3665.77,3.1744,3.1744,270544.59,2488.24
219,15470.67,3654.01,3654.01,3.1725,3.1725,312367.26,2509.90
220,15498.32,3669.12,3669.12,3.1503,3.1503,397229.65,2531.42
221,15425.51,3660.11,3660.11,3.1336,3.1336,380101.30,2525.23
222,?,?,?,?,?,?,?
223,?,?,?,?,?,?,?
224,15419.68,3669.95,3669.95,3.1510,3.1510,368141.59,2552.44
225,15451.01,3684.44,3684.44,3.1489,3.1489,331396.90,2567.59
226,15337.66,3669.27,3669.27,3.1643,3.1643,507190.82,2588.79
227,15112.19,3606.12,3606.12,?,?,?,?
228,15081.47,3602.78,3602.78,3.1665,3.1665,235859.72,2574.59
229,?,?,?,?,?,?,?
230,?,?,?,?,?,?,?
231,15010.74,3589.09,3589.09,3.1873,3.1873,221002.10,2578.29
232,15002.99,3613.59,3613.59,3.1761,3.1761,346987.56,2541.92
233,14897.55,3599.79,3599.79,3.1698,3.1698,367040.87,2539.12
234,14963.74,3638.71,3638.71,3.1811,3.1811,500820.00,2592.17
235,15010.51,3657.79,3657.79,3.1673,3.1673,482258.08,2582.43
236,?,?,?,?,?,?,?
237,?,?,?,?,?,?,?
238,14946.46,3657.57,3657.57,3.1658,3.1658,223156.56,2584.54
239,14776.13,3578.52,3578.52,3.1849,3.1849,405569.20,2530.18
240,14824.51,3593.35,3593.35,3.1840,3.1840,334254.73,2529.20
241,14840.95,3620.30,3620.30,3.2269,3.2269,256303.50,2535.66
242,14810.31,3589.87,3589.87,3.2209,3.2209,452224.77,2550.55
243,?,?,?,?,?,?,?
244,?,?,?,?,?,?,?
245,?,?,?,3.2164,3.2164,243694.56,2559.42
246,14833.96,3612.61,3612.61,3.2433,3.2433,458961.67,2551.42
247,14930.87,3649.04,3649.04,3.2387,3.2387,470381.00,2497.16
248,14937.48,3658.78,3658.78,3.2463,3.2463,834833.31,2366.93
249,14922.50,3660.01,3660.01,3.2732,3.2732,769977.16,2424.82
250,?,?,?,?,?,?,?
251,?,?,?,?,?,?,?
252,15063.12,3706.18,3706.18,3.2357,3.2357,455760.67,2485.12
253,15191.06,3729.02,3729.02,3.2181,3.2181,648512.95,2564.76
254,15326.60,3725.01,3725.01,3.1955,3.1955,401132.03,2593.59
255,15300.64,3715.97,3715.97,3.1782,3.1782,403268.50,2597.06
256,15376.06,3722.18,3722.18,3.1696,3.1696,300563.40,2569.37
257,?,?,?,?,?,?,?
258,?,?,?,?,?,?,?
