%310
@RELATION PLPROJP00018
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG-Plus NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-BUDOW NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?,?,?
2,782.35,48107.89,1718.26,48389.84,2835.52,27508.60,188.60,24.16,?,8.60
3,783.15,48222.72,1714.83,48505.50,2832.46,08.60,08.60,0.00,8.60,8.60
4,781.69,47888.16,1719.23,48143.94,2814.73,13938.62,78.62,12.14,8.60,8.62
5,?,?,?,?,?,?,?,?,8.62,?
6,?,?,?,?,?,?,?,?,?,?
7,781.76,47589.33,1719.82,47820.24,2793.31,43198.81,148.81,37.91,?,8.81
8,780.70,47379.63,1714.18,47624.67,2790.64,59549.00,149.00,52.93,8.81,9.00
9,784.82,47407.28,1722.98,47668.58,2784.62,197059.05,319.05,178.31,9.00,9.05
10,788.85,47546.91,1717.51,47798.66,2800.96,109.30,29.30,0.09,9.05,9.30
11,795.36,47440.80,1761.65,47690.97,2815.88,839.20,49.20,0.76,9.30,9.20
12,?,?,?,?,?,?,?,?,9.20,?
13,?,?,?,?,?,?,?,?,?,?
14,797.42,47470.12,1787.10,47724.95,2820.74,76129.25,209.25,69.87,?,9.25
15,794.59,47086.54,1789.24,47346.41,2817.16,23859.05,119.05,21.57,9.25,9.05
16,796.34,47521.39,1813.57,47794.60,2825.40,131809.31,359.31,123.04,9.05,9.31
17,803.56,47661.37,1796.76,47936.81,2848.09,180739.70,429.70,173.32,9.31,9.70
18,807.72,47813.69,1830.45,48104.67,2864.72,1369810.50,6710.50,137.52,9.70,10.50
19,?,?,?,?,?,?,?,?,10.50,?
20,?,?,?,?,?,?,?,?,?,?
21,809.27,47936.61,1829.00,48184.37,2890.14,1224310.40,3710.40,127.57,?,10.40
22,808.23,47872.80,1822.02,48127.89,2892.80,859910.02,3810.02,86.20,10.40,10.02
23,808.40,47733.24,1819.73,47999.21,2890.57,267010.15,1410.15,26.71,10.02,10.15
24,811.80,47942.04,1794.79,48203.43,2898.85,6321110.00,3410.00,638.74,10.15,10.00
25,812.99,47613.95,1818.33,47851.99,2897.93,164210.18,1010.18,16.55,10.00,10.18
26,?,?,?,?,?,?,?,?,10.18,?
27,?,?,?,?,?,?,?,?,?,?
28,813.38,47324.06,1811.61,47553.14,2886.17,62610.14,710.14,6.28,?,10.14
29,815.93,47328.40,1804.79,47565.10,2878.58,534010.22,2110.22,54.34,10.14,10.22
30,815.59,46917.19,1825.50,47113.08,2876.68,2070010.20,3410.20,211.32,10.22,10.20
31,817.14,46840.15,1817.11,47011.43,2880.57,484610.50,3510.50,50.94,10.20,10.50
32,818.68,46945.58,1834.26,47121.08,2883.81,1442711.00,6811.00,157.16,10.50,11.00
33,?,?,?,?,?,?,?,?,11.00,?
34,?,?,?,?,?,?,?,?,?,?
35,818.05,46556.55,1819.69,46735.25,2856.17,1680111.10,4211.10,183.38,?,11.10
36,816.68,46674.78,1784.50,46862.43,2843.49,443910.80,4010.80,48.33,11.10,10.80
37,813.75,46149.14,1779.66,46341.54,2811.05,97510.88,1810.88,10.48,10.80,10.88
38,811.13,46329.66,1758.77,46512.72,2815.91,76411.05,2011.05,8.29,10.88,11.05
39,813.77,46741.54,1769.71,46931.40,2825.70,391610.85,2510.85,42.59,11.05,10.85
40,?,?,?,?,?,?,?,?,10.85,?
41,?,?,?,?,?,?,?,?,?,?
42,817.03,46786.74,1762.40,46988.04,2826.84,736210.65,3110.65,78.27,?,10.65
43,817.32,46399.26,1785.06,46564.61,2821.25,425910.83,2610.83,45.57,10.65,10.83
44,817.35,46406.74,1780.69,46569.81,2825.02,769110.85,3110.85,83.10,10.83,10.85
45,818.81,46211.54,1783.79,46360.51,2825.15,1570711.10,5411.10,171.50,10.85,11.10
46,826.73,46370.13,1804.96,46523.63,2838.22,5473911.00,2111.00,599.41,11.10,11.00
47,?,?,?,?,?,?,?,?,11.00,?
48,?,?,?,?,?,?,?,?,?,?
49,830.85,46508.27,1814.39,46665.39,2848.48,319011.05,2211.05,35.25,?,11.05
50,832.30,46490.89,1821.72,46652.19,2843.90,360210.93,1710.93,39.75,11.05,10.93
51,830.62,46051.76,1809.28,46198.42,2831.71,303310.50,1810.50,32.19,10.93,10.50
52,823.32,45879.90,1812.57,46050.52,2801.83,704810.71,2310.71,74.29,10.50,10.71
53,826.66,45948.12,1826.84,46124.82,2817.57,308710.60,1510.60,32.43,10.71,10.60
54,?,?,?,?,?,?,?,?,10.60,?
55,?,?,?,?,?,?,?,?,?,?
56,829.61,46286.28,1850.28,46487.05,2840.57,509010.61,1810.61,53.99,?,10.61
57,828.81,45868.35,1831.29,46065.85,2831.16,233610.70,1510.70,25.05,10.61,10.70
58,836.69,46241.92,1848.22,46459.99,2855.69,118410.41,910.41,12.18,10.70,10.41
59,844.08,46280.36,1866.67,46510.83,2865.27,467710.60,2010.60,49.59,10.41,10.60
60,842.02,46341.14,1880.05,46622.90,2859.05,77010.41,1410.41,8.03,10.60,10.41
61,?,?,?,?,?,?,?,?,10.41,?
62,?,?,?,?,?,?,?,?,?,?
63,838.26,46137.70,1870.04,46454.13,2860.68,453110.45,3710.45,45.31,?,10.45
64,845.88,46676.09,1867.84,47001.38,2868.06,32810.39,1710.39,3.37,10.45,10.39
65,849.88,46762.65,1848.50,47090.49,2872.90,35669.80,289.80,35.23,10.39,9.80
66,855.99,46745.26,1870.22,47060.66,2873.49,39159.60,329.60,37.49,9.80,9.60
67,861.67,47074.39,1871.59,47436.21,2906.74,27319.60,359.60,26.03,9.60,9.60
68,?,?,?,?,?,?,?,?,9.60,?
69,?,?,?,?,?,?,?,?,?,?
70,863.89,46933.03,1873.37,47269.75,2914.24,54109.35,559.35,50.30,?,9.35
71,866.79,47010.40,1865.43,47340.43,2911.38,174919.50,469.50,162.61,9.35,9.50
72,872.90,46888.37,1864.62,47235.72,2901.67,2512310.15,2810.15,249.87,9.50,10.15
73,871.52,47223.68,1848.14,47606.16,2912.13,796010.00,3910.00,80.38,10.15,10.00
74,873.21,47125.93,1849.89,47522.10,2909.77,824610.30,3810.30,84.17,10.00,10.30
75,?,?,?,?,?,?,?,?,10.30,?
76,?,?,?,?,?,?,?,?,?,?
77,868.37,46668.41,1834.95,47094.18,2900.59,281110.02,1210.02,28.18,?,10.02
78,864.73,46029.35,1794.48,46473.62,2868.24,394410.20,910.20,39.93,10.02,10.20
79,862.97,46068.24,1801.52,46511.62,2874.75,879510.40,2810.40,90.03,10.20,10.40
80,850.86,45580.47,1769.42,46017.88,2833.61,355410.05,2610.05,35.84,10.40,10.05
81,845.32,45066.18,1707.83,45473.08,2800.67,1087710.12,4810.12,111.79,10.05,10.12
82,?,?,?,?,?,?,?,?,10.12,?
83,?,?,?,?,?,?,?,?,?,?
84,839.36,44585.10,1660.44,44946.32,2780.21,854810.08,3510.08,87.34,?,10.08
85,830.80,44724.88,1648.36,45119.16,2774.13,229210.15,1410.15,23.04,10.08,10.15
86,835.51,45247.90,1653.10,45644.09,2785.46,78010.01,910.01,7.88,10.15,10.01
87,839.42,45147.57,1677.23,45528.85,2797.31,60110.20,710.20,6.04,10.01,10.20
88,?,?,?,?,?,?,?,?,10.20,?
89,?,?,?,?,?,?,?,?,?,?
90,?,?,?,?,?,?,?,?,?,?
91,?,?,?,?,?,?,?,?,?,?
92,840.31,45304.74,1656.40,45679.51,2814.33,20310.10,810.10,2.03,?,10.10
93,828.79,44604.61,1620.82,44940.36,2769.02,265279.98,369.98,262.40,10.10,9.98
94,824.35,44623.89,1588.07,44980.62,2766.19,41289.90,149.90,40.62,9.98,9.90
95,819.73,44597.66,1585.00,44960.02,2760.91,39179.80,169.80,38.48,9.90,9.80
96,?,?,?,?,?,?,?,?,9.80,?
97,?,?,?,?,?,?,?,?,?,?
98,818.75,44590.97,1584.03,44963.96,2764.28,18119.90,149.90,17.69,?,9.90
99,815.74,44725.03,1600.11,45096.35,2767.26,12019.62,79.62,11.53,9.90,9.62
100,820.16,45091.63,1609.16,45495.34,2780.21,2219.56,59.56,2.11,9.62,9.56
101,824.04,45688.48,1647.89,46131.66,2794.43,16089.69,159.69,15.58,9.56,9.69
102,819.29,45525.92,1602.65,45960.10,2783.53,12789.66,89.66,12.48,9.69,9.66
103,?,?,?,?,?,?,?,?,9.66,?
104,?,?,?,?,?,?,?,?,?,?
105,814.07,44724.14,1590.14,45167.65,2754.91,229.43,49.43,0.21,?,9.43
106,?,?,?,?,?,?,?,?,9.43,?
107,796.68,43916.24,1578.30,44404.81,2705.88,43928.78,178.78,40.23,?,8.78
108,787.39,43364.70,1582.90,43850.06,2695.55,31048.80,158.80,26.54,8.78,8.80
109,783.37,43447.75,1551.70,43993.98,2685.57,248348.20,268.20,204.61,8.80,8.20
110,?,?,?,?,?,?,?,?,8.20,?
111,?,?,?,?,?,?,?,?,?,?
112,776.37,43360.30,1572.53,43892.82,2660.28,46358.30,198.30,38.09,?,8.30
113,769.16,43159.57,1577.62,43707.88,2624.40,3358.50,58.50,2.78,8.30,8.50
114,769.82,43356.73,1568.91,43908.95,2636.70,6428.08,58.08,5.20,8.50,8.08
115,774.88,43482.18,1578.90,44027.03,2658.57,10378.50,108.50,8.75,8.08,8.50
116,777.86,43665.21,1567.21,44226.06,2669.93,49158.90,238.90,42.20,8.50,8.90
117,?,?,?,?,?,?,?,?,8.90,?
118,?,?,?,?,?,?,?,?,?,?
119,779.98,43882.16,1568.27,44420.22,2685.14,4538.90,58.90,4.03,?,8.90
120,784.81,44162.18,1577.58,44653.34,2704.84,30109.00,149.00,26.87,8.90,9.00
121,?,?,?,?,?,?,?,?,9.00,?
122,787.45,43991.51,1593.50,44466.89,2695.22,28699.50,159.50,26.91,?,9.50
123,?,?,?,?,?,?,?,?,9.50,?
124,?,?,?,?,?,?,?,?,?,?
125,?,?,?,?,?,?,?,?,?,?
126,786.57,44541.73,1610.11,45060.80,2714.72,3679.70,89.70,3.45,?,9.70
127,793.09,44742.22,1618.85,45244.29,2733.96,10289.44,79.44,9.56,9.70,9.44
128,798.10,45117.94,1640.06,45647.76,2752.14,19.43,19.43,0.01,9.44,9.43
129,800.71,44943.16,1640.84,45475.08,2760.20,26619.38,139.38,23.95,9.43,9.38
130,800.42,44895.35,1627.28,45408.06,2769.85,3539.39,89.39,3.23,9.38,9.39
131,?,?,?,?,?,?,?,?,9.39,?
132,?,?,?,?,?,?,?,?,?,?
133,802.74,45207.84,1680.51,45746.01,2790.62,819.02,39.02,0.73,?,9.02
134,804.49,45771.11,1669.79,46336.62,2822.41,4469.22,99.22,4.02,9.02,9.22
135,802.28,46102.42,1662.38,46676.61,2848.38,107648.25,378.25,88.55,9.22,8.25
136,806.45,45992.03,1668.63,46581.16,2871.70,8238.97,108.97,6.75,8.25,8.97
137,810.69,46078.68,1720.89,46646.58,2885.19,18318.70,118.70,15.88,8.97,8.70
138,?,?,?,?,?,?,?,?,8.70,?
139,?,?,?,?,?,?,?,?,?,?
140,815.60,46041.35,1720.79,46615.31,2921.95,23308.66,118.66,20.18,?,8.66
141,819.76,45851.80,1715.41,46439.10,2893.12,16558.71,78.71,14.36,8.66,8.71
142,818.82,45933.66,1721.17,46529.96,2912.70,4748.71,28.71,4.13,8.71,8.71
143,814.69,45687.76,1700.24,46311.26,2894.53,8349.08,79.08,7.50,8.71,9.08
144,820.11,46145.44,1717.23,46783.61,2929.62,65309.50,309.50,59.94,9.08,9.50
145,?,?,?,?,?,?,?,?,9.50,?
146,?,?,?,?,?,?,?,?,?,?
147,828.12,47277.10,1770.93,47957.54,2976.83,46499.42,89.42,43.17,?,9.42
148,838.40,47579.87,1794.53,48258.02,2997.81,216869.40,179.40,203.35,9.42,9.40
149,842.72,47476.64,1826.11,48138.07,3000.58,15299.00,139.00,13.93,9.40,9.00
150,?,?,?,?,?,?,?,?,9.00,?
151,841.72,47806.34,1832.70,48503.87,2994.25,2559.19,49.19,2.34,?,9.19
152,?,?,?,?,?,?,?,?,9.19,?
153,?,?,?,?,?,?,?,?,?,?
154,839.57,47175.79,1796.86,47868.36,2970.24,62739.19,149.19,56.47,?,9.19
155,854.67,47620.68,1812.04,48323.88,2998.79,100639.42,209.42,92.98,9.19,9.42
156,859.35,47805.94,1846.56,48513.29,3026.87,151369.80,199.80,146.58,9.42,9.80
157,864.95,47573.66,1856.88,48259.19,3020.15,5760210.00,3810.00,576.15,9.80,10.00
158,866.67,48209.65,1849.90,48918.37,3044.38,475810.00,1210.00,47.55,10.00,10.00
159,?,?,?,?,?,?,?,?,10.00,?
160,?,?,?,?,?,?,?,?,?,?
161,870.65,48495.01,1856.85,49207.65,3065.91,1139.99,1039.99,1.13,?,9.99
162,870.60,48324.52,1866.45,49050.96,3074.89,26619.90,1129.90,26.48,9.99,9.90
163,878.91,48383.93,1901.79,49098.70,3098.83,4268810.19,12110.19,424.89,9.90,10.19
164,877.48,48152.82,1913.84,48890.47,3089.32,10285210.00,2310.00,1049.07,10.19,10.00
165,880.65,48273.42,1917.53,49057.66,3092.65,215810.00,810.00,21.58,10.00,10.00
166,?,?,?,?,?,?,?,?,10.00,?
167,?,?,?,?,?,?,?,?,?,?
168,883.59,48131.61,1911.93,48917.56,3100.24,131059.82,449.82,126.25,?,9.82
169,886.71,48119.72,1917.62,48891.04,3120.39,459610.50,1210.50,45.81,9.82,10.50
170,885.25,47743.10,1923.19,48509.84,3122.21,238010.48,1410.48,24.73,10.50,10.48
171,864.38,45870.00,1891.03,46587.68,3038.18,308859.85,159.85,319.33,10.48,9.85
172,855.18,44732.92,1879.16,45456.77,3001.68,5239.99,119.99,4.94,9.85,9.99
173,?,?,?,?,?,?,?,?,9.99,?
174,?,?,?,?,?,?,?,?,?,?
175,857.74,44824.62,1899.94,45531.46,2990.89,6839.99,89.99,6.82,?,9.99
176,863.23,44966.09,1919.70,45672.10,2999.31,18059.76,129.76,17.38,9.99,9.76
177,858.05,44893.99,1923.12,45601.51,2972.55,28079.27,139.27,27.10,9.76,9.27
178,847.97,43667.37,1881.89,44326.49,2915.58,71549.44,189.44,64.70,9.27,9.44
179,848.08,44747.79,1851.41,45442.51,2948.80,4549.29,79.29,4.22,9.44,9.29
180,?,?,?,?,?,?,?,?,9.29,?
181,?,?,?,?,?,?,?,?,?,?
182,848.80,44769.00,1835.70,45461.06,2963.91,1309.29,59.29,1.21,?,9.29
183,853.37,45533.94,1831.78,46254.71,2981.48,192929.30,169.30,177.52,9.29,9.30
184,850.45,45184.98,1823.41,45899.36,2971.57,29529.38,119.38,27.47,9.30,9.38
185,855.94,45613.75,1818.75,46344.42,2988.19,16489.31,109.31,15.70,9.38,9.31
186,851.88,45110.89,1805.32,45805.34,2977.06,122719.29,109.29,111.69,9.31,9.29
