%310
@RELATION PLPOLND00019
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE sWIG80 NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-DEWEL NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?,?,?
2,10531.27,48107.89,1438.45,48389.84,2835.52,8750810.77,28810.77,938.95,?,10.77
3,10554.18,48222.72,1422.15,48505.50,2832.46,29864011.64,81311.64,3332.83,10.77,11.64
4,10519.33,47888.16,1424.57,48143.94,2814.73,23694711.54,50111.54,2732.51,11.64,11.54
5,?,?,?,?,?,?,?,?,11.54,?
6,?,?,?,?,?,?,?,?,?,?
7,10488.60,47589.33,1408.87,47820.24,2793.31,15220411.98,39811.98,1771.51,?,11.98
8,10500.71,47379.63,1416.22,47624.67,2790.64,31884411.56,86111.56,3824.03,11.98,11.56
9,10503.06,47407.28,1418.24,47668.58,2784.62,12516611.40,33811.40,1438.20,11.56,11.40
10,10496.80,47546.91,1427.00,47798.66,2800.96,6723311.57,21711.57,780.83,11.40,11.57
11,10595.04,47440.80,1431.50,47690.97,2815.88,6941711.70,18811.70,810.95,11.57,11.70
12,?,?,?,?,?,?,?,?,11.70,?
13,?,?,?,?,?,?,?,?,?,?
14,10637.07,47470.12,1429.59,47724.95,2820.74,4355211.64,15111.64,510.67,?,11.64
15,10638.06,47086.54,1424.03,47346.41,2817.16,7503811.30,22511.30,854.21,11.64,11.30
16,10673.05,47521.39,1459.06,47794.60,2825.40,6543411.44,24911.44,737.59,11.30,11.44
17,10767.29,47661.37,1480.62,47936.81,2848.09,7332111.55,18911.55,847.09,11.44,11.55
18,10903.93,47813.69,1463.04,48104.67,2864.72,5389211.36,15611.36,618.36,11.55,11.36
19,?,?,?,?,?,?,?,?,11.36,?
20,?,?,?,?,?,?,?,?,?,?
21,11030.02,47936.61,1473.28,48184.37,2890.14,4531611.35,18511.35,513.41,?,11.35
22,11073.63,47872.80,1474.10,48127.89,2892.80,16202310.70,57510.70,1765.87,11.35,10.70
23,11071.80,47733.24,1466.26,47999.21,2890.57,14346510.70,41810.70,1538.21,10.70,10.70
24,11108.21,47942.04,1462.14,48203.43,2898.85,2911010.72,12510.72,312.93,10.70,10.72
25,11174.05,47613.95,1453.75,47851.99,2897.93,11018010.70,33810.70,1189.45,10.72,10.70
26,?,?,?,?,?,?,?,?,10.70,?
27,?,?,?,?,?,?,?,?,?,?
28,11144.27,47324.06,1428.40,47553.14,2886.17,2968010.78,10810.78,319.96,?,10.78
29,11165.66,47328.40,1414.71,47565.10,2878.58,3681810.80,14010.80,391.85,10.78,10.80
30,11183.61,46917.19,1409.63,47113.08,2876.68,1277610.78,6710.78,137.51,10.80,10.78
31,11245.80,46840.15,1412.77,47011.43,2880.57,3823610.79,11410.79,411.15,10.78,10.79
32,11241.00,46945.58,1424.75,47121.08,2883.81,1118710.66,7110.66,119.80,10.79,10.66
33,?,?,?,?,?,?,?,?,10.66,?
34,?,?,?,?,?,?,?,?,?,?
35,11191.08,46556.55,1376.74,46735.25,2856.17,3285610.60,12210.60,350.97,?,10.60
36,11060.84,46674.78,1376.05,46862.43,2843.49,8267310.38,27410.38,856.32,10.60,10.38
37,10953.57,46149.14,1368.56,46341.54,2811.05,4293910.43,13010.43,446.63,10.38,10.43
38,10950.03,46329.66,1379.50,46512.72,2815.91,4744210.36,12310.36,492.90,10.43,10.36
39,10986.53,46741.54,1389.85,46931.40,2825.70,9906710.22,22110.22,1020.65,10.36,10.22
40,?,?,?,?,?,?,?,?,10.22,?
41,?,?,?,?,?,?,?,?,?,?
42,10947.75,46786.74,1393.28,46988.04,2826.84,2639610.35,9410.35,272.18,?,10.35
43,10981.98,46399.26,1383.89,46564.61,2821.25,20662710.00,39510.00,2064.35,10.35,10.00
44,11022.58,46406.74,1354.82,46569.81,2825.02,995199.55,3669.55,966.69,10.00,9.55
45,11017.48,46211.54,1313.43,46360.51,2825.15,1376839.46,2369.46,1301.90,9.55,9.46
46,11071.18,46370.13,1349.87,46523.63,2838.22,226869.40,989.40,213.59,9.46,9.40
47,?,?,?,?,?,?,?,?,9.40,?
48,?,?,?,?,?,?,?,?,?,?
49,11089.91,46508.27,1365.73,46665.39,2848.48,2742569.44,6269.44,2552.44,?,9.44
50,11119.72,46490.89,1352.40,46652.19,2843.90,1661379.35,4489.35,1553.71,9.44,9.35
51,11014.53,46051.76,1342.16,46198.42,2831.71,1538468.93,3088.93,1402.73,9.35,8.93
52,10948.88,45879.90,1322.82,46050.52,2801.83,878278.90,3438.90,778.22,8.93,8.90
53,10985.79,45948.12,1345.82,46124.82,2817.57,18920229.95,9469.95,17046.18,8.90,9.95
54,?,?,?,?,?,?,?,?,9.95,?
55,?,?,?,?,?,?,?,?,?,?
56,11033.69,46286.28,1357.55,46487.05,2840.57,723629.75,2629.75,696.12,?,9.75
57,10972.28,45868.35,1359.10,46065.85,2831.16,607879.35,2599.35,571.78,9.75,9.35
58,11039.20,46241.92,1359.06,46459.99,2855.69,351029.39,1859.39,327.14,9.35,9.39
59,11052.03,46280.36,1354.30,46510.83,2865.27,243849.48,1059.48,230.58,9.39,9.48
60,11010.83,46341.14,1347.19,46622.90,2859.05,150829.43,719.43,141.46,9.48,9.43
61,?,?,?,?,?,?,?,?,9.43,?
62,?,?,?,?,?,?,?,?,?,?
63,10998.55,46137.70,1363.77,46454.13,2860.68,376389.25,1149.25,351.27,?,9.25
64,10997.33,46676.09,1397.73,47001.38,2868.06,464899.67,1439.67,440.38,9.25,9.67
65,11042.47,46762.65,1387.52,47090.49,2872.90,182209.63,1079.63,175.05,9.67,9.63
66,11042.08,46745.26,1372.44,47060.66,2873.49,605439.59,1099.59,580.29,9.63,9.59
67,11119.06,47074.39,1370.33,47436.21,2906.74,313729.49,1139.49,297.82,9.59,9.49
68,?,?,?,?,?,?,?,?,9.49,?
69,?,?,?,?,?,?,?,?,?,?
70,11133.10,46933.03,1396.97,47269.75,2914.24,452379.42,1229.42,423.08,?,9.42
71,11150.86,47010.40,1423.31,47340.43,2911.38,384279.30,1299.30,360.77,9.42,9.30
72,11194.08,46888.37,1423.72,47235.72,2901.67,295459.40,529.40,275.94,9.30,9.40
73,11231.22,47223.68,1436.51,47606.16,2912.13,186789.33,789.33,175.19,9.40,9.33
74,11228.39,47125.93,1431.31,47522.10,2909.77,937668.96,3218.96,847.81,9.33,8.96
