%310
@RELATION PLWELTN00012
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE sWIG80 NUMERIC 
@ATTRIBUTE WIGdiv NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?,?,?
2,10531.27,1117.48,48107.89,48389.84,2835.52,125394.28,284.28,53.79,?,4.28
3,10554.18,1118.84,48222.72,48505.50,2832.46,36174.28,114.28,15.51,4.28,4.28
4,10519.33,1111.36,47888.16,48143.94,2814.73,190274.18,594.18,79.07,4.28,4.18
5,?,?,?,?,?,?,?,?,4.18,?
6,?,?,?,?,?,?,?,?,?,?
7,10488.60,1109.28,47589.33,47820.24,2793.31,36044.22,184.22,15.15,?,4.22
8,10500.71,1101.95,47379.63,47624.67,2790.64,102374.19,294.19,42.85,4.22,4.19
9,10503.06,1105.51,47407.28,47668.58,2784.62,42164.18,194.18,17.51,4.19,4.18
10,10496.80,1109.02,47546.91,47798.66,2800.96,98434.16,214.16,40.62,4.18,4.16
11,10595.04,1106.07,47440.80,47690.97,2815.88,99124.25,294.25,41.57,4.16,4.25
12,?,?,?,?,?,?,?,?,4.25,?
13,?,?,?,?,?,?,?,?,?,?
14,10637.07,1108.76,47470.12,47724.95,2820.74,88304.24,244.24,37.45,?,4.24
15,10638.06,1098.41,47086.54,47346.41,2817.16,85414.37,244.37,36.69,4.24,4.37
16,10673.05,1100.21,47521.39,47794.60,2825.40,490914.39,724.39,218.10,4.37,4.39
17,10767.29,1100.21,47661.37,47936.81,2848.09,120574.39,244.39,52.71,4.39,4.39
18,10903.93,1104.63,47813.69,48104.67,2864.72,201314.34,384.34,86.12,4.39,4.34
19,?,?,?,?,?,?,?,?,4.34,?
20,?,?,?,?,?,?,?,?,?,?
21,11030.02,1103.07,47936.61,48184.37,2890.14,582344.45,314.45,253.86,?,4.45
22,11073.63,1099.21,47872.80,48127.89,2892.80,99444.42,234.42,43.48,4.45,4.42
23,11071.80,1091.82,47733.24,47999.21,2890.57,2300914.49,1864.49,1030.07,4.42,4.49
24,11108.21,1093.21,47942.04,48203.43,2898.85,615844.50,784.50,277.00,4.49,4.50
25,11174.05,1084.16,47613.95,47851.99,2897.93,155324.52,404.52,70.11,4.50,4.52
26,?,?,?,?,?,?,?,?,4.52,?
27,?,?,?,?,?,?,?,?,?,?
28,11144.27,1079.13,47324.06,47553.14,2886.17,106224.42,354.42,47.41,?,4.42
29,11165.66,1078.99,47328.40,47565.10,2878.58,129084.39,354.39,56.54,4.42,4.39
30,11183.61,1071.11,46917.19,47113.08,2876.68,246974.28,514.28,105.60,4.39,4.28
31,11245.80,1070.81,46840.15,47011.43,2880.57,124764.22,394.22,52.79,4.28,4.22
32,11241.00,1073.47,46945.58,47121.08,2883.81,90014.26,244.26,38.49,4.22,4.26
33,?,?,?,?,?,?,?,?,4.26,?
34,?,?,?,?,?,?,?,?,?,?
35,11191.08,1061.01,46556.55,46735.25,2856.17,191204.29,304.29,81.98,?,4.29
36,11060.84,1066.05,46674.78,46862.43,2843.49,387404.24,354.24,163.15,4.29,4.24
37,10953.57,1054.01,46149.14,46341.54,2811.05,267534.15,684.15,110.04,4.24,4.15
38,10950.03,1057.65,46329.66,46512.72,2815.91,290394.09,414.09,118.36,4.15,4.09
39,10986.53,1068.97,46741.54,46931.40,2825.70,261074.02,564.02,105.83,4.09,4.02
40,?,?,?,?,?,?,?,?,4.02,?
41,?,?,?,?,?,?,?,?,?,?
42,10947.75,1067.80,46786.74,46988.04,2826.84,191604.06,254.06,78.02,?,4.06
43,10981.98,1038.81,46399.26,46564.61,2821.25,591243.95,1083.95,237.58,4.06,3.95
44,11022.58,1034.74,46406.74,46569.81,2825.02,571553.80,1053.80,218.76,3.95,3.80
45,11017.48,1024.61,46211.54,46360.51,2825.15,316893.80,513.80,119.13,3.80,3.80
46,11071.18,1029.14,46370.13,46523.63,2838.22,1955374.11,2644.11,779.56,3.80,4.11
47,?,?,?,?,?,?,?,?,4.11,?
48,?,?,?,?,?,?,?,?,?,?
49,11089.91,1033.03,46508.27,46665.39,2848.48,303424.13,564.13,125.47,?,4.13
50,11119.72,1028.99,46490.89,46652.19,2843.90,151364.09,374.09,62.29,4.13,4.09
51,11014.53,1013.84,46051.76,46198.42,2831.71,130654.13,184.13,53.99,4.09,4.13
52,10948.88,1009.79,45879.90,46050.52,2801.83,599474.05,334.05,242.94,4.13,4.05
53,10985.79,1008.41,45948.12,46124.82,2817.57,401744.05,524.05,163.39,4.05,4.05
54,?,?,?,?,?,?,?,?,4.05,?
55,?,?,?,?,?,?,?,?,?,?
56,11033.69,1013.72,46286.28,46487.05,2840.57,815484.05,644.05,328.25,?,4.05
57,10972.28,1007.53,45868.35,46065.85,2831.16,213224.04,344.04,86.59,4.05,4.04
58,11039.20,1014.91,46241.92,46459.99,2855.69,497144.14,434.14,205.10,4.04,4.14
59,11052.03,1015.09,46280.36,46510.83,2865.27,1129004.13,1304.13,477.06,4.14,4.13
60,11010.83,1019.44,46341.14,46622.90,2859.05,745104.08,884.08,307.38,4.13,4.08
61,?,?,?,?,?,?,?,?,4.08,?
62,?,?,?,?,?,?,?,?,?,?
63,10998.55,1017.25,46137.70,46454.13,2860.68,190124.11,384.11,76.97,?,4.11
