%310
@RELATION CY1000031710
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE sWIG80 NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?
2,10531.27,48107.89,2835.52,108393.10,323.10,33.09,?,3.10
3,10554.18,48222.72,2832.46,635853.10,333.10,196.00,3.10,3.10
4,10519.33,47888.16,2814.73,98943.13,373.13,31.36,3.10,3.13
5,?,?,?,?,?,?,3.13,?
6,?,?,?,?,?,?,?,?
7,10488.60,47589.33,2793.31,723543.17,283.17,233.29,?,3.17
8,10500.71,47379.63,2790.64,71433.09,193.09,22.26,3.17,3.09
9,10503.06,47407.28,2784.62,252003.05,233.05,77.20,3.09,3.05
10,10496.80,47546.91,2800.96,233573.02,153.02,70.54,3.05,3.02
11,10595.04,47440.80,2815.88,305162.95,502.95,89.47,3.02,2.95
12,?,?,?,?,?,?,2.95,?
13,?,?,?,?,?,?,?,?
14,10637.07,47470.12,2820.74,95113.02,283.02,28.45,?,3.02
15,10638.06,47086.54,2817.16,64972.98,192.98,19.49,3.02,2.98
16,10673.05,47521.39,2825.40,7933.01,93.01,2.38,2.98,3.01
17,10767.29,47661.37,2848.09,62213.03,233.03,18.78,3.01,3.03
18,10903.93,47813.69,2864.72,222833.03,373.03,68.09,3.03,3.03
19,?,?,?,?,?,?,3.03,?
20,?,?,?,?,?,?,?,?
21,11030.02,47936.61,2890.14,95693.06,153.06,29.19,?,3.06
22,11073.63,47872.80,2892.80,459883.17,533.17,143.76,3.06,3.17
23,11071.80,47733.24,2890.57,337443.03,623.03,102.96,3.17,3.03
24,11108.21,47942.04,2898.85,134883.13,273.13,41.94,3.03,3.13
25,11174.05,47613.95,2897.93,1342583.10,173.10,416.13,3.13,3.10
26,?,?,?,?,?,?,3.10,?
27,?,?,?,?,?,?,?,?
28,11144.27,47324.06,2886.17,194983.14,233.14,60.52,?,3.14
29,11165.66,47328.40,2878.58,69213.11,123.11,21.58,3.14,3.11
30,11183.61,46917.19,2876.68,55513.11,113.11,17.31,3.11,3.11
31,11245.80,46840.15,2880.57,1030123.10,93.10,319.24,3.11,3.10
32,11241.00,46945.58,2883.81,46053.15,163.15,14.40,3.10,3.15
33,?,?,?,?,?,?,3.15,?
34,?,?,?,?,?,?,?,?
35,11191.08,46556.55,2856.17,157933.21,343.21,50.95,?,3.21
36,11060.84,46674.78,2843.49,1106683.19,293.19,353.66,3.21,3.19
37,10953.57,46149.14,2811.05,1296863.15,603.15,411.45,3.19,3.15
38,10950.03,46329.66,2815.91,677933.30,1103.30,225.89,3.15,3.30
39,10986.53,46741.54,2825.70,566873.22,703.22,187.21,3.30,3.22
40,?,?,?,?,?,?,3.22,?
41,?,?,?,?,?,?,?,?
42,10947.75,46786.74,2826.84,175603.27,193.27,57.57,?,3.27
43,10981.98,46399.26,2821.25,136543.30,263.30,44.98,3.27,3.30
44,11022.58,46406.74,2825.02,876563.30,543.30,289.63,3.30,3.30
45,11017.48,46211.54,2825.15,235533.32,303.32,78.10,3.30,3.32
46,11071.18,46370.13,2838.22,1755903.49,963.49,594.65,3.32,3.49
47,?,?,?,?,?,?,3.49,?
48,?,?,?,?,?,?,?,?
49,11089.91,46508.27,2848.48,914363.63,1013.63,328.38,?,3.63
50,11119.72,46490.89,2843.90,208793.58,463.58,74.54,3.63,3.58
51,11014.53,46051.76,2831.71,265843.54,373.54,94.97,3.58,3.54
52,10948.88,45879.90,2801.83,1424343.41,1343.41,479.38,3.54,3.41
53,10985.79,45948.12,2817.57,224593.44,403.44,77.38,3.41,3.44
54,?,?,?,?,?,?,3.44,?
55,?,?,?,?,?,?,?,?
56,11033.69,46286.28,2840.57,646823.46,223.46,219.33,?,3.46
57,10972.28,45868.35,2831.16,253483.38,463.38,85.80,3.46,3.38
58,11039.20,46241.92,2855.69,777613.33,1493.33,256.78,3.38,3.33
59,11052.03,46280.36,2865.27,1217043.75,1143.75,441.87,3.33,3.75
60,11010.83,46341.14,2859.05,427633.90,623.90,162.06,3.75,3.90
61,?,?,?,?,?,?,3.90,?
62,?,?,?,?,?,?,?,?
63,10998.55,46137.70,2860.68,1286773.90,723.90,502.27,?,3.90
64,10997.33,46676.09,2868.06,1190374.02,1104.02,475.07,3.90,4.02
65,11042.47,46762.65,2872.90,231334.14,524.14,95.87,4.02,4.14
66,11042.08,46745.26,2873.49,606814.18,434.18,249.86,4.14,4.18
67,11119.06,47074.39,2906.74,585814.12,644.12,236.86,4.18,4.12
68,?,?,?,?,?,?,4.12,?
69,?,?,?,?,?,?,?,?
70,11133.10,46933.03,2914.24,163054.05,294.05,66.06,?,4.05
71,11150.86,47010.40,2911.38,497944.23,624.23,203.82,4.05,4.23
72,11194.08,46888.37,2901.67,281274.37,674.37,122.59,4.23,4.37
73,11231.22,47223.68,2912.13,87704.35,334.35,38.59,4.37,4.35
74,11228.39,47125.93,2909.77,371904.15,814.15,155.27,4.35,4.15
75,?,?,?,?,?,?,4.15,?
76,?,?,?,?,?,?,?,?
77,11190.20,46668.41,2900.59,63794.10,284.10,26.09,?,4.10
78,11135.62,46029.35,2868.24,140474.06,154.06,57.12,4.10,4.06
79,11168.63,46068.24,2874.75,394974.21,454.21,161.82,4.06,4.21
80,11069.03,45580.47,2833.61,1047194.09,1024.09,429.45,4.21,4.09
81,10908.77,45066.18,2800.67,103974.10,374.10,42.34,4.09,4.10
82,?,?,?,?,?,?,4.10,?
83,?,?,?,?,?,?,?,?
84,10899.26,44585.10,2780.21,107844.08,394.08,44.40,?,4.08
85,10815.43,44724.88,2774.13,355574.00,854.00,139.50,4.08,4.00
86,10867.86,45247.90,2785.46,257004.00,634.00,100.23,4.00,4.00
87,10938.55,45147.57,2797.31,693734.00,254.00,276.10,4.00,4.00
88,?,?,?,?,?,?,4.00,?
89,?,?,?,?,?,?,?,?
90,?,?,?,?,?,?,?,?
91,?,?,?,?,?,?,?,?
92,10998.70,45304.74,2814.33,22924.00,134.00,9.13,?,4.00
93,10809.87,44604.61,2769.02,661043.98,493.98,264.43,4.00,3.98
94,10817.23,44623.89,2766.19,215043.89,383.89,83.28,3.98,3.89
95,10803.99,44597.66,2760.91,230303.87,133.87,89.26,3.89,3.87
96,?,?,?,?,?,?,3.87,?
97,?,?,?,?,?,?,?,?
98,10819.93,44590.97,2764.28,849163.84,243.84,325.71,?,3.84
99,10820.89,44725.03,2767.26,386323.76,293.76,146.69,3.84,3.76
100,10845.27,45091.63,2780.21,371134.05,424.05,145.73,3.76,4.05
101,10908.65,45688.48,2794.43,176794.18,434.18,74.27,4.05,4.18
102,10807.45,45525.92,2783.53,338634.21,614.21,140.50,4.18,4.21
103,?,?,?,?,?,?,4.21,?
104,?,?,?,?,?,?,?,?
105,10663.67,44724.14,2754.91,30234.13,94.13,12.64,?,4.13
106,?,?,?,?,?,?,4.13,?
107,10431.02,43916.24,2705.88,131343.95,243.95,52.00,?,3.95
108,10415.53,43364.70,2695.55,160963.95,243.95,63.62,3.95,3.95
109,10373.60,43447.75,2685.57,51373.98,103.98,20.30,3.95,3.98
110,?,?,?,?,?,?,3.98,?
111,?,?,?,?,?,?,?,?
112,10335.77,43360.30,2660.28,30194.00,184.00,12.08,?,4.00
113,10282.22,43159.57,2624.40,229234.03,244.03,92.20,4.00,4.03
114,10264.95,43356.73,2636.70,172094.01,174.01,69.01,4.03,4.01
115,10327.20,43482.18,2658.57,380493.95,253.95,150.44,4.01,3.95
116,10407.26,43665.21,2669.93,49453.97,193.97,19.61,3.95,3.97
117,?,?,?,?,?,?,3.97,?
118,?,?,?,?,?,?,?,?
119,10465.41,43882.16,2685.14,158443.97,143.97,62.78,?,3.97
120,10511.46,44162.18,2704.84,148774.03,174.03,59.63,3.97,4.03
121,?,?,?,?,?,?,4.03,?
122,10554.34,43991.51,2695.22,2104.00,24.00,0.84,?,4.00
