%310
@RELATION PLERGIN00015
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?
2,48107.89,48389.84,2835.52,144914.50,1114.50,20.81,?,14.50
3,48222.72,48505.50,2832.46,4514.25,114.25,0.64,14.50,14.25
4,47888.16,48143.94,2814.73,68813.85,513.85,9.55,14.25,13.85
5,?,?,?,?,?,?,13.85,?
6,?,?,?,?,?,?,?,?
7,47589.33,47820.24,2793.31,31313.86,813.86,4.35,?,13.86
8,47379.63,47624.67,2790.64,24913.86,713.86,3.47,13.86,13.86
9,47407.28,47668.58,2784.62,23413.76,813.76,3.23,13.86,13.76
10,47546.91,47798.66,2800.96,130013.60,613.60,17.57,13.76,13.60
11,47440.80,47690.97,2815.88,174013.30,1213.30,23.10,13.60,13.30
12,?,?,?,?,?,?,13.30,?
13,?,?,?,?,?,?,?,?
14,47470.12,47724.95,2820.74,10813.60,1013.60,1.43,?,13.60
15,47086.54,47346.41,2817.16,74813.22,913.22,9.99,13.60,13.22
16,47521.39,47794.60,2825.40,10013.30,713.30,1.33,13.22,13.30
17,47661.37,47936.81,2848.09,76313.50,2113.50,10.19,13.30,13.50
18,47813.69,48104.67,2864.72,129013.55,1013.55,17.46,13.50,13.55
19,?,?,?,?,?,?,13.55,?
20,?,?,?,?,?,?,?,?
21,47936.61,48184.37,2890.14,20013.60,813.60,2.71,?,13.60
22,47872.80,48127.89,2892.80,75613.55,713.55,10.26,13.60,13.55
23,47733.24,47999.21,2890.57,167312.90,1212.90,22.09,13.55,12.90
24,47942.04,48203.43,2898.85,490112.95,1212.95,62.70,12.90,12.95
25,47613.95,47851.99,2897.93,1118913.30,913.30,146.54,12.95,13.30
26,?,?,?,?,?,?,13.30,?
27,?,?,?,?,?,?,?,?
28,47324.06,47553.14,2886.17,187313.32,1313.32,24.92,?,13.32
29,47328.40,47565.10,2878.58,59213.36,513.36,7.86,13.32,13.36
30,46917.19,47113.08,2876.68,13013.44,213.44,1.73,13.36,13.44
31,46840.15,47011.43,2880.57,35413.31,213.31,4.71,13.44,13.31
32,46945.58,47121.08,2883.81,61913.50,813.50,8.25,13.31,13.50
33,?,?,?,?,?,?,13.50,?
34,?,?,?,?,?,?,?,?
35,46556.55,46735.25,2856.17,58913.39,1413.39,7.99,?,13.39
36,46674.78,46862.43,2843.49,35313.39,313.39,4.73,13.39,13.39
37,46149.14,46341.54,2811.05,2144213.75,613.75,288.43,13.39,13.75
38,46329.66,46512.72,2815.91,30713.70,613.70,4.22,13.75,13.70
39,46741.54,46931.40,2825.70,350613.96,713.96,48.70,13.70,13.96
40,?,?,?,?,?,?,13.96,?
41,?,?,?,?,?,?,?,?
42,46786.74,46988.04,2826.84,488714.00,1314.00,68.21,?,14.00
43,46399.26,46564.61,2821.25,177614.30,914.30,25.16,14.00,14.30
44,46406.74,46569.81,2825.02,278515.15,2015.15,41.89,14.30,15.15
45,46211.54,46360.51,2825.15,2839816.23,2416.23,440.06,15.15,16.23
46,46370.13,46523.63,2838.22,1964616.20,2616.20,317.31,16.23,16.20
47,?,?,?,?,?,?,16.20,?
48,?,?,?,?,?,?,?,?
49,46508.27,46665.39,2848.48,26516.20,416.20,4.29,?,16.20
50,46490.89,46652.19,2843.90,1799516.45,1316.45,296.67,16.20,16.45
51,46051.76,46198.42,2831.71,46216.45,616.45,7.66,16.45,16.45
52,45879.90,46050.52,2801.83,569815.35,2815.35,88.16,16.45,15.35
53,45948.12,46124.82,2817.57,202115.21,715.21,30.82,15.35,15.21
54,?,?,?,?,?,?,15.21,?
55,?,?,?,?,?,?,?,?
56,46286.28,46487.05,2840.57,4015.06,615.06,0.60,?,15.06
57,45868.35,46065.85,2831.16,23115.11,415.11,3.49,15.06,15.11
58,46241.92,46459.99,2855.69,15515.30,1215.30,2.36,15.11,15.30
59,46280.36,46510.83,2865.27,28015.28,515.28,4.25,15.30,15.28
60,46341.14,46622.90,2859.05,40615.00,515.00,6.09,15.28,15.00
61,?,?,?,?,?,?,15.00,?
62,?,?,?,?,?,?,?,?
63,46137.70,46454.13,2860.68,17115.20,215.20,2.57,?,15.20
64,46676.09,47001.38,2868.06,27514.78,514.78,4.10,15.20,14.78
65,46762.65,47090.49,2872.90,36414.71,714.71,5.37,14.78,14.71
66,46745.26,47060.66,2873.49,62014.74,514.74,9.13,14.71,14.74
67,47074.39,47436.21,2906.74,50514.55,2014.55,7.42,14.74,14.55
68,?,?,?,?,?,?,14.55,?
69,?,?,?,?,?,?,?,?
70,46933.03,47269.75,2914.24,83414.70,1314.70,12.26,?,14.70
71,47010.40,47340.43,2911.38,78714.55,5714.55,11.46,14.70,14.55
72,46888.37,47235.72,2901.67,106414.75,3814.75,15.52,14.55,14.75
73,47223.68,47606.16,2912.13,454614.75,1014.75,67.01,14.75,14.75
74,47125.93,47522.10,2909.77,71614.99,1714.99,10.61,14.75,14.99
75,?,?,?,?,?,?,14.99,?
76,?,?,?,?,?,?,?,?
77,46668.41,47094.18,2900.59,88115.00,2615.00,13.21,?,15.00
78,46029.35,46473.62,2868.24,185714.75,1114.75,27.82,15.00,14.75
79,46068.24,46511.62,2874.75,10014.76,514.76,1.48,14.75,14.76
80,45580.47,46017.88,2833.61,40014.70,314.70,5.89,14.76,14.70
81,45066.18,45473.08,2800.67,180714.25,2314.25,25.55,14.70,14.25
82,?,?,?,?,?,?,14.25,?
83,?,?,?,?,?,?,?,?
84,44585.10,44946.32,2780.21,132614.50,914.50,18.69,?,14.50
85,44724.88,45119.16,2774.13,249314.36,1014.36,35.18,14.50,14.36
86,45247.90,45644.09,2785.46,308014.00,514.00,43.22,14.36,14.00
87,45147.57,45528.85,2797.31,26014.20,314.20,3.67,14.00,14.20
88,?,?,?,?,?,?,14.20,?
89,?,?,?,?,?,?,?,?
90,?,?,?,?,?,?,?,?
91,?,?,?,?,?,?,?,?
92,45304.74,45679.51,2814.33,014.20,014.20,0.00,?,14.20
93,44604.61,44940.36,2769.02,650714.00,1014.00,91.19,14.20,14.00
94,44623.89,44980.62,2766.19,15414.00,514.00,2.16,14.00,14.00
95,44597.66,44960.02,2760.91,2814.00,1014.00,0.39,14.00,14.00
96,?,?,?,?,?,?,14.00,?
97,?,?,?,?,?,?,?,?
98,44590.97,44963.96,2764.28,126114.00,2414.00,17.75,?,14.00
99,44725.03,45096.35,2767.26,104414.25,514.25,14.52,14.00,14.25
100,45091.63,45495.34,2780.21,53014.20,314.20,7.45,14.25,14.20
101,45688.48,46131.66,2794.43,906214.25,914.25,128.23,14.20,14.25
102,45525.92,45960.10,2783.53,102014.25,1114.25,14.45,14.25,14.25
